country,pr_intake,copr_issued,copr_over_intake
India,88400,96965,1.097
Federal Republic of Cameroon,48995,22700,0.463
Nigeria,26145,15185,0.581
Philippines,25815,23970,0.929
People's Republic of China,20430,19815,0.970
Ukraine,14245,8395,0.589
Hong Kong,12500,245,0.020
Afghanistan,11970,7860,0.657
France,11525,12155,1.055
Pakistan,10110,7925,0.784
United States of America,9895,7540,0.762
Mexico,9885,5455,0.552
Iran,9610,7165,0.746
Algeria,9525,7355,0.772
Democratic Republic of Sudan,8210,4710,0.574
Eritrea,7900,11235,1.422
Morocco,7510,6445,0.858
Colombia,6895,5610,0.814
Haiti,5790,5160,0.891
Tunisia,5790,5000,0.864
Socialist Republic of Vietnam,5785,3865,0.668
Republic of Ivory Coast,5755,3235,0.562
Ethiopia,5680,3970,0.699
Brazil,5420,5095,0.940
Turkey,5030,1910,0.380
"Congo, Democratic Republic of the",4945,3945,0.798
Syria,4780,4410,0.923
Ghana,4620,1735,0.376
Bangladesh,4510,3025,0.671
Jamaica,4450,2870,0.645
United Kingdom and Overseas Territories,4355,3180,0.730
Uganda,3620,855,0.236
Sri Lanka,3615,2940,0.813
Stateless,3125,2240,0.717
Kenya,2930,1015,0.346
"Somalia, Democratic Republic of",2860,4230,1.479
Nepal,2740,1970,0.719
Lebanon,2290,2045,0.893
Iraq,2245,1965,0.875
"Korea, Republic of",2195,2350,1.071
"Togo, Republic of",2120,1130,0.533
Senegal,2100,1345,0.640
Burundi,2095,1230,0.587
Egypt,2050,1820,0.888
Rwanda,1950,1035,0.531
Peoples Republic of Benin,1870,1035,0.553
Mauritius,1605,1490,0.928
Russia,1585,1045,0.659
Peru,1485,1015,0.684
Jordan,1465,800,0.546
Chile,1360,825,0.607
Venezuela,1290,1125,0.872
"Guinea, Republic of",1280,765,0.598
Cuba,1190,995,0.836
Palestinian Authority (Gaza/West Bank),1175,335,0.285
Madagascar,1140,825,0.724
Republic of South Africa,1075,1075,1.000
Taiwan,1050,760,0.724
Dominican Republic,1045,815,0.780
Burkina-Faso,1005,715,0.711
Australia,945,705,0.746
Zimbabwe,905,535,0.591
Federal Republic of Germany,855,665,0.778
Ecuador,775,535,0.690
Israel,775,570,0.735
Italy,765,660,0.863
Republic of Ireland,735,825,1.122
Japan,730,635,0.870
"South Sudan, Republic Of",685,505,0.737
"Mali, Republic of",680,710,1.044
Yemen,635,570,0.898
Belgium,630,530,0.841
Other*,620,15,0.024
Thailand,590,445,0.754
Spain,510,455,0.892
El Salvador,505,560,1.109
United Republic of Tanzania,505,260,0.515
"Chad, Republic of",490,305,0.622
"Congo, People's Republic of the",480,350,0.729
Republic of Indonesia,475,395,0.832
Honduras,470,435,0.926
Portugal,455,515,1.132
Albania,445,475,1.067
"Trinidad and Tobago, Republic of",440,330,0.750
Argentina,430,435,1.012
Myanmar (Burma),425,215,0.506
Nicaragua,425,275,0.647
Central African Republic,415,335,0.807
Guatemala,380,360,0.947
The Netherlands,370,265,0.716
"Bahama Islands, The",355,275,0.775
Angola,350,210,0.600
Mauritania,340,140,0.412
Guyana,330,295,0.894
Georgia,325,225,0.692
Romania,325,270,0.831
Kazakhstan,315,240,0.762
New Zealand,290,280,0.966
Gambia,275,100,0.364
Bolivia,270,150,0.556
Hungary,265,220,0.830
Poland,265,245,0.925
Azerbaijan,260,135,0.519
Uzbekistan,260,105,0.404
Barbados,255,170,0.667
Libya,255,260,1.020
Liberia,250,105,0.420
Costa Rica,240,200,0.833
Republic of Djibouti,240,215,0.896
Malaysia,235,250,1.064
Sierra Leone,205,70,0.341
Republic of the Niger,185,145,0.784
Cambodia,180,110,0.611
Greece,180,170,0.944
St. Lucia,175,90,0.514
Sweden,175,150,0.857
Armenia,170,140,0.824
St. Vincent and the Grenadines,170,85,0.500
Gabon Republic,165,155,0.939
Switzerland,165,165,1.000
Zambia,150,75,0.500
"Serbia, Republic of",145,165,1.138
Moldova,140,155,1.107
Saudi Arabia,140,110,0.786
Belarus,135,200,1.481
Czech Republic,130,160,1.231
Singapore,130,150,1.154
Bhutan,115,45,0.391
"Panama, Republic of",105,65,0.619
Grenada,100,60,0.600
Antigua and Barbuda,95,65,0.684
"Kosovo, Republic of",95,110,1.158
"Mongolia, People's Republic of",95,110,1.158
Norway,90,50,0.556
Tajikistan,90,25,0.278
Austria,85,60,0.706
Kyrgyzstan,85,75,0.882
Namibia,85,35,0.412
Slovak Republic,80,90,1.125
Belize,75,65,0.867
Denmark,75,45,0.600
Fiji,70,100,1.429
Finland,70,85,1.214
Croatia,65,55,0.846
Malawi,65,35,0.538
Paraguay,55,35,0.636
Bosnia-Hercegovina,45,40,0.889
Bulgaria,45,60,1.333
Latvia,45,40,0.889
Lithuania,45,35,0.778
Dominica,40,25,0.625
Uruguay,40,25,0.625
Comoros,35,15,0.429
Kuwait,35,30,0.857
Laos,35,15,0.429
Macedonia,35,45,1.286
Luxembourg,30,15,0.500
Swaziland,30,5,0.167
Turkmenistan,30,25,0.833
"Botswana, Republic of",25,20,0.800
Macao,25,5,0.200
St. Kitts-Nevis,25,20,0.800
Bahrain,15,15,1.000
Cape Verde Islands,15,0,0.000
"Montenegro, Republic of",15,10,0.667
Slovenia,15,20,1.333
Brunei,10,0,0.000
Cyprus,10,15,1.500
Estonia,10,10,1.000
Iceland,10,10,1.000
Lesotho,10,5,0.500
Mozambique,10,10,1.000
Oman,10,5,0.500
Surinam,10,10,1.000
United Arab Emirates,10,10,1.000
Vanuatu,10,0,0.000
Guinea-Bissau,5,5,1.000
Papua New Guinea,5,0,0.000
Andorra,0,0,
Commonwealth of the Northern Mariana Islands,0,0,
"East Timor, Democratic Republic of",0,0,
Equatorial Guinea,0,10,
Federated States of Micronesia,0,0,
Holy See,0,,
"Korea, People's Democratic Republic of",0,0,
Liechtenstein,0,0,
"Maldives, Republic of",0,5,
Malta,0,0,
Monaco,0,0,
Nauru,0,,
New Caledonia,0,0,
Qatar,0,0,
Republic of Palau,0,0,
Republic of The Marshall Islands,0,,
Reunion,0,0,
"Samoa, Independent State Of",0,0,
San Marino,0,0,
Sao Tome and Principe,0,0,
Seychelles,0,5,
Sint-Maarten,0,0,
"Solomons, The",0,5,
Tonga,0,0,
Turks and Caicos Islands,0,0,
Western Sahara,0,0,
Kiribati,,0,
