citizenship,vit_34,vit_35,vit_37,hirv,org_crime,security,trv_subtotal,pr_subtotal,referred_any_type_2025_fullyear,pr_intake_2025_fullyear,sp_processed_2025_fullyear,trv_intake_2025_fullyear,total_applications_2025_fullyear
People's Republic of China,13135,3,2,0,3,2441,13140,2444,15584,20430,21120,421925,442355
Iran,3413,1,0,0,2,2362,3414,2364,5778,9605,7020,112445,122050
India,2066,1126,1,1,4,1145,3193,1150,4343,88395,49870,1238165,1326560
Pakistan,806,7,2,1,1,556,815,558,1373,10120,4025,129645,139765
Ukraine,603,1,2,0,0,631,606,631,1237,14255,295,117270,131525
Palestinian Authority (Gaza/West Bank),964,1,0,0,0,139,965,139,1104,1185,220,6430,7615
Nigeria,555,5,4,1,4,421,564,426,990,26145,28310,244640,270785
Russia,514,3,5,0,0,291,522,291,813,1575,515,16900,18475
Afghanistan,67,2,0,1,0,637,69,638,707,11965,195,6500,18465
Syria,98,0,0,0,0,570,98,570,668,4780,210,8115,12895
Lebanon,279,1,2,0,0,261,282,261,543,2295,345,20365,22660
Bangladesh,395,10,1,0,0,129,406,129,535,4505,4310,88450,92955
Philippines,274,16,1,2,0,207,291,209,500,25815,8580,173780,199595
Colombia,193,2,1,0,1,230,196,231,427,6895,2555,105655,112550
Tunisia,236,1,0,0,0,148,237,148,385,5800,1830,29350,35150
Eritrea,9,0,0,4,0,368,9,372,381,7905,15,2300,10205
Mexico,140,0,2,0,3,203,142,206,348,9890,4315,186905,196795
Algeria,111,0,1,0,0,231,112,231,343,9520,7570,92330,101850
Iraq,119,0,0,0,0,217,119,217,336,2250,315,5430,7680
"Somalia, Democratic Republic of",6,0,0,0,0,283,6,283,289,2850,15,1215,4065
Egypt,116,3,0,0,0,129,119,129,248,2045,1075,24625,26670
Morocco,118,0,0,0,0,122,118,122,240,7510,3435,38910,46420
Haiti,43,1,0,2,1,181,44,184,228,5795,4760,71320,77115
Turkey,64,1,0,0,0,162,65,162,227,5035,1560,38115,43150
Federal Republic of Cameroon,30,3,0,0,1,181,33,182,215,49000,7885,42505,91505
Israel,44,0,0,0,0,151,44,151,195,780,155,7035,7815
Democratic Republic of Sudan,17,0,0,0,0,172,17,172,189,8200,155,4680,12880
Socialist Republic of Vietnam,139,1,2,0,0,40,142,40,182,5785,6020,65865,71650
Peru,83,62,2,0,0,12,147,12,159,1490,820,26685,28175
Ethiopia,21,0,0,1,0,127,21,128,149,5680,835,19135,24815
Sri Lanka,42,35,0,0,0,67,77,67,144,3620,1525,36225,39845
Brazil,28,0,0,0,0,106,28,106,134,5420,3255,47410,52830
Saudi Arabia,108,0,0,0,0,15,108,15,123,135,455,9720,9855
Ghana,82,1,4,0,1,33,87,34,121,4625,7405,63435,68060
Jordan,59,0,0,0,0,58,59,58,117,1460,1180,15895,17355
"Congo, Democratic Republic of the",28,1,0,0,0,82,29,82,111,4945,6330,39745,44690
"Yemen, Republic of",24,0,0,0,0,78,24,78,102,0,225,3550,3550
Missing data,0,-3,0,0,-1,96,-3,95,92,,,,
Nepal,68,0,1,0,0,21,69,21,90,2740,3375,48155,50895
Libya,43,0,0,0,0,42,43,42,85,265,160,2370,2635
Burundi,9,2,0,2,0,70,11,72,83,2090,640,5190,7280
France,3,0,0,0,0,79,3,79,82,11520,9395,51600,63120
"Korea, Republic of",3,0,0,0,0,78,3,78,81,2195,4505,31230,33425
Cuba,40,0,0,0,0,37,40,37,77,1200,105,9660,10860
Stateless,16,0,0,0,0,58,16,58,74,,,,
Dominican Republic,57,0,0,0,1,11,57,12,69,1045,190,17605,18650
Kazakhstan,40,0,0,0,0,27,40,27,67,315,280,5200,5515
"Serbia, Republic of",9,48,0,0,0,10,57,10,67,140,10,3155,3295
Republic of South Africa,47,0,0,0,0,19,47,19,66,1075,510,12580,13655
Rwanda,11,4,0,2,0,47,15,49,64,1945,1310,9575,11520
Jamaica,26,0,0,0,1,35,26,36,62,4460,730,57505,61965
"Chad, Republic of",2,0,0,0,0,58,2,58,60,490,460,3455,3945
Venezuela,10,1,0,0,0,47,11,47,58,1285,150,12170,13455
Republic of Ivory Coast,19,1,1,0,2,33,21,35,56,5755,6250,23935,29690
Bosnia-Hercegovina,13,38,1,0,0,2,52,2,54,30,0,905,935
Zimbabwe,12,0,1,0,0,40,13,40,53,910,770,7685,8595
Guatemala,41,1,0,0,0,9,42,9,51,375,100,31925,32300
Albania,22,2,4,0,0,21,28,21,49,440,205,5845,6285
Hong Kong SAR,36,0,0,0,0,13,36,13,49,12500,1095,17145,29645
Kenya,21,1,1,0,0,25,23,25,48,2930,1990,27295,30225
El Salvador,26,1,0,0,0,20,27,20,47,515,110,7295,7810
Taiwan,6,0,0,0,0,40,6,40,46,1045,1390,8405,9450
United States of America,6,0,1,0,0,39,7,39,46,9890,3975,22150,32040
Belarus,23,1,1,0,0,19,25,19,44,130,0,1360,1490
"Guinea, Republic of",12,3,0,0,0,28,15,28,43,1280,12505,24655,25935
Peoples Republic of Benin,6,0,1,0,4,32,7,36,43,1875,1960,6665,8540
Senegal,20,0,0,0,0,22,20,22,42,2100,11930,34450,36550
Burkina-Faso,15,0,0,0,1,22,15,23,38,1005,1420,9680,10685
Uganda,15,6,2,0,0,13,23,13,36,3630,635,16390,20020
Mauritius,12,0,0,0,0,20,12,20,32,1605,310,6365,7970
United Kingdom and Overseas Territories,5,0,1,0,0,24,6,24,30,4355,1170,22045,26400
Armenia,17,0,1,0,0,10,18,10,28,165,55,1940,2105
Honduras,21,0,0,0,0,6,21,6,27,470,125,6420,6890
Azerbaijan,10,0,0,0,0,14,10,14,24,255,700,5285,5540
Uzbekistan,9,0,0,0,0,15,9,15,24,260,620,3700,3960
"Mali, Republic of",8,1,5,0,0,6,14,6,20,680,1115,6545,7225
Cambodia,13,2,1,0,0,3,16,3,19,175,185,4200,4375
Ecuador,10,0,0,0,0,9,10,9,19,775,625,20350,21125
Republic of Indonesia,18,0,0,0,0,1,18,1,19,470,845,17365,17835
Nicaragua,4,0,0,0,0,14,4,14,18,420,35,3845,4265
Republic of Djibouti,2,0,0,0,0,16,2,16,18,235,115,895,1130
Thailand,10,0,0,0,0,8,10,8,18,590,775,12670,13260
"Togo, Republic of",3,2,0,0,0,13,5,13,18,2125,1475,6640,8765
Dominica,17,0,0,0,0,0,17,0,17,25,5,1465,1490
Georgia,9,1,0,0,0,7,10,7,17,330,25,2865,3195
Republic of the Niger,12,0,0,0,0,4,12,4,16,190,370,2040,2230
Moldova,2,0,0,0,0,13,2,13,15,140,0,1040,1180
Macedonia,8,3,0,1,0,2,11,3,14,20,0,870,890
Myanmar (Burma),11,0,0,0,0,3,11,3,14,425,920,3840,4265
Federal Republic of Germany,0,0,0,0,0,13,0,13,13,850,2250,9775,10625
Angola,3,0,0,0,1,8,3,9,12,350,15,2645,2995
Australia,2,0,0,0,0,10,2,10,12,945,185,10370,11315
Republic of Ireland,0,0,7,0,0,5,7,5,12,730,80,6385,7115
"Trinidad and Tobago, Republic of",8,0,0,0,0,4,8,4,12,440,240,7455,7895
Kyrgyzstan,7,0,0,0,0,4,7,4,11,70,50,980,1050
Madagascar,6,0,0,0,0,5,6,5,11,1140,550,5400,6540
Argentina,2,4,0,0,1,3,6,4,10,425,120,6680,7105
Central African Republic,2,0,0,0,0,8,2,8,10,410,70,445,855
Mauritania,1,0,0,0,0,9,1,9,10,335,230,2070,2405
Zambia,10,0,0,0,0,0,10,0,10,140,125,1550,1690
Bolivia,2,1,0,0,0,6,3,6,9,270,115,2750,3020
Gabon Republic,6,0,0,0,0,3,6,3,9,155,135,1170,1325
Gambia,8,0,0,0,0,1,8,1,9,275,360,2305,2580
Italy,2,0,0,0,1,6,2,7,9,770,820,6855,7625
"Korea, People's Democratic Republic of",9,0,0,0,0,0,9,0,9,0,0,15,15
"Kosovo, Republic of",6,1,0,0,0,2,7,2,9,90,25,1450,1540
St. Kitts-Nevis,6,0,0,0,0,3,6,3,9,0,0,575,575
Tajikistan,3,0,0,0,0,6,3,6,9,85,55,805,890
Chile,0,0,0,0,0,7,0,7,7,1355,265,9805,11160
"Congo, People's Republic of the",0,0,0,0,0,7,0,7,7,485,635,4685,5170
Malaysia,3,0,0,0,0,4,3,4,7,235,190,10420,10655
"Mongolia, People's Republic of",3,0,0,0,0,4,3,4,7,85,380,4670,4755
Costa Rica,4,0,0,0,0,2,4,2,6,235,120,4845,5080
Portugal,0,0,0,0,0,6,0,6,6,455,80,2620,3075
Romania,1,0,0,0,0,5,1,5,6,335,40,2175,2510
Belgium,0,0,0,0,0,5,0,5,5,635,410,3005,3640
Bulgaria,1,0,0,0,0,4,1,4,5,30,5,265,295
Croatia,0,0,0,1,0,4,0,5,5,50,0,455,505
Guyana,4,0,0,0,0,1,4,1,5,335,90,7990,8325
Hungary,1,0,0,0,0,4,1,4,5,265,30,1345,1610
Japan,1,0,0,0,0,4,1,4,5,730,3770,17220,17950
Macao SAR,5,0,0,0,0,0,5,0,5,10,30,1035,1045
"Montenegro, Republic of",2,3,0,0,0,0,5,0,5,0,0,300,300
Poland,2,0,0,0,0,3,2,3,5,265,40,2020,2285
Turkmenistan,2,0,0,0,0,3,2,3,5,15,5,375,390
United Republic of Tanzania,1,0,0,0,0,4,1,4,5,510,260,4585,5095
Greece,1,0,0,0,0,3,1,3,4,175,30,1215,1390
Grenada,3,0,0,0,0,1,3,1,4,90,15,1620,1710
Liberia,1,0,1,0,0,2,2,2,4,255,470,2330,2585
Qatar,4,0,0,0,0,0,4,0,4,0,0,555,555
Singapore,0,0,0,0,1,3,0,4,4,125,140,880,1005
"South Sudan, Republic Of",1,0,0,0,0,3,1,3,4,680,15,335,1015
The Netherlands,2,0,0,0,0,2,2,2,4,375,170,2085,2460
"Bahama Islands, The",0,0,0,0,0,3,0,3,3,360,165,2030,2390
Bahrain,3,0,0,0,0,0,3,0,3,0,0,610,610
Barbados,0,0,0,0,0,3,0,3,3,255,115,1630,1885
Belize,2,0,0,0,0,1,2,1,3,60,20,720,780
Czech Republic,1,0,0,0,0,2,1,2,3,130,90,1665,1795
Fiji,3,0,0,0,0,0,3,0,3,55,0,1955,2010
Other,1,0,0,0,0,2,1,2,3,,,,
Sierra Leone,3,0,0,0,0,0,3,0,3,205,240,2110,2315
Bhutan,1,0,0,0,0,1,1,1,2,115,125,1920,2035
Finland,1,0,0,0,0,1,1,1,2,55,35,460,515
New Zealand,0,0,0,0,0,2,0,2,2,285,35,3095,3380
Norway,0,0,0,0,0,2,0,2,2,80,55,440,520
Oman,1,0,0,0,0,1,1,1,2,0,20,965,965
St. Lucia,1,0,0,0,0,1,1,1,2,175,35,1505,1680
Switzerland,0,0,0,0,0,2,0,2,2,155,350,1450,1605
Unspecified,1,0,0,0,0,1,1,1,2,,,,
Antigua and Barbuda,1,0,0,0,0,0,1,0,1,90,10,565,655
Iceland,0,1,0,0,0,0,1,0,1,0,5,210,210
Malawi,0,0,0,0,0,1,0,1,1,55,45,755,810
Mozambique,0,0,0,0,0,1,0,1,1,0,15,365,365
Republic of The Marshall Islands,1,0,0,0,0,0,1,0,1,0,0,10,10
Slovenia,0,0,0,0,0,1,0,1,1,0,0,75,75
