source,page,category,activity_type,citizenship,office,level,total_2025,total_2019_to_2025,fix_status,fix_note
trv,1,SP,"VIT 34",Afghanistan,"Abu Dhabi",office,,23,,
trv,1,SP,"VIT 34",Afghanistan,Ankara,office,1,11,,
trv,1,SP,"VIT 34",Afghanistan,"Case Processing Centre Ottawa",office,,8,,
trv,1,SP,"VIT 34",Afghanistan,Islamabad,office,,1,,
trv,1,SP,"VIT 34",Afghanistan,"London England",office,,1,,
trv,1,SP,"VIT 34",Afghanistan,Manila,office,1,1,,
trv,1,SP,"VIT 34",Afghanistan,Nairobi,office,,5,,
trv,1,SP,"VIT 34",Afghanistan,"Port of Spain",office,1,1,,
trv,1,SP,"VIT 34",Afghanistan,Riyadh,office,,1,,
trv,1,SP,"VIT 34",Afghanistan,Vienna,office,,1,,
trv,1,SP,"VIT 34",Afghanistan,Warsaw,office,,3,,
trv,1,SP,"VIT 34",Albania,Ankara,office,,1,,
trv,1,SP,"VIT 34",Albania,"London England",office,,1,,
trv,1,SP,"VIT 34",Albania,Vienna,office,,1,,
trv,1,SP,"VIT 34",Algeria,"Abu Dhabi",office,,5,,
trv,1,SP,"VIT 34",Algeria,Ankara,office,,1,,
trv,1,SP,"VIT 34",Algeria,"Case Processing Centre Ottawa",office,,20,,
trv,1,SP,"VIT 34",Algeria,"CN India",office,,2,,
trv,1,SP,"VIT 34",Algeria,"CN North Africa",office,1,1,,
trv,1,SP,"VIT 34",Algeria,Kyiv,office,,1,,
trv,1,SP,"VIT 34",Algeria,Paris,office,1,36,,
trv,1,SP,"VIT 34",Algeria,Pretoria,office,1,3,,
trv,1,SP,"VIT 34",Algeria,Riyadh,office,,1,,
trv,1,SP,"VIT 34",Algeria,Tunis,office,,3,,
trv,1,SP,"VIT 34",Algeria,Vienna,office,,2,,
trv,1,SP,"VIT 34",Angola,Warsaw,office,,1,,
trv,1,SP,"VIT 34","Antigua and Barbuda","Abu Dhabi",office,,1,,
trv,1,SP,"VIT 34","Antigua and Barbuda","Port of Spain",office,,1,,
trv,1,SP,"VIT 34",Argentina,"Buenos Aires",office,,1,,
trv,1,SP,"VIT 34",Armenia,"Abu Dhabi",office,,1,,
trv,1,SP,"VIT 34",Armenia,Ankara,office,,1,,
trv,1,SP,"VIT 34",Armenia,Warsaw,office,,2,,
trv,1,SP,"VIT 34",Australia,"Sydney Australia",office,,1,,
trv,1,SP,"VIT 34",Australia,Warsaw,office,,1,,
trv,1,SP,"VIT 34",Austria,Ankara,office,,1,,
trv,1,SP,"VIT 34",Azerbaijan,Ankara,office,1,18,,
trv,1,SP,"VIT 34","Bahama Islands, The","Operations Support Centre",office,,2,,
trv,1,SP,"VIT 34",Bahrain,"Abu Dhabi",office,,3,,
trv,1,SP,"VIT 34",Bangladesh,"Abu Dhabi",office,,9,,
trv,1,SP,"VIT 34",Bangladesh,Beijing,office,,2,,
trv,1,SP,"VIT 34",Bangladesh,"Case Processing Centre Ottawa",office,1,8,,
trv,1,SP,"VIT 34",Bangladesh,"CN India",office,,1,,
trv,1,SP,"VIT 34",Bangladesh,"CN South Asia",office,,1,,
trv,1,SP,"VIT 34",Bangladesh,"Operations Support Centre",office,,2,,
trv,1,SP,"VIT 34",Bangladesh,Riyadh,office,,14,,
trv,1,SP,"VIT 34",Bangladesh,Singapore,office,6,35,,
trv,1,SP,"VIT 34",Bangladesh,"Sydney Australia",office,,2,,
trv,1,SP,"VIT 34",Bangladesh,Vienna,office,,3,,
trv,1,SP,"VIT 34",Barbados,"Port of Spain",office,,1,,
trv,1,SP,"VIT 34",Belarus,Warsaw,office,1,6,,
trv,1,SP,"VIT 34",Belgium,Ankara,office,,1,,
trv,1,SP,"VIT 34",Belgium,"Operations Support Centre",office,,1,,
trv,1,SP,"VIT 34",Belize,"Mexico City",office,,1,,
trv,1,SP,"VIT 34",Brazil,"Case Processing Centre Edmonton",office,,1,,
trv,1,SP,"VIT 34",Brazil,"Case Processing Centre Ottawa",office,,1,,
trv,1,SP,"VIT 34",Brazil,Riyadh,office,,3,,
trv,1,SP,"VIT 34",Brazil,"Sao Paulo",office,2,10,,
trv,1,SP,"VIT 34",Brazil,Shanghai,office,,1,,
trv,1,SP,"VIT 34",Burkina-Faso,Paris,office,,4,,
trv,1,SP,"VIT 34",Burundi,Dar-Es-Salaam,office,,1,,
trv,1,SP,"VIT 34","Chad, Republic of",Beijing,office,1,1,,
trv,1,SP,"VIT 34",Chile,"Buenos Aires",office,,1,,
trv,1,SP,"VIT 34",Chile,"Case Processing Centre Ottawa",office,,1,,
trv,1,SP,"VIT 34",Chile,"Operations Support Centre",office,,2,,
trv,1,SP,"VIT 34",Colombia,"Abu Dhabi",office,,1,,
trv,1,SP,"VIT 34",Colombia,Bogota,office,,41,,
trv,1,SP,"VIT 34",Colombia,"Case Processing Centre Ottawa",office,,1,,
trv,1,SP,"VIT 34",Colombia,"Operations Support Centre",office,,1,,
trv,1,SP,"VIT 34",Colombia,Riyadh,office,,16,,
trv,1,SP,"VIT 34",Comoros,Pretoria,office,,1,,
trv,1,SP,"VIT 34","Congo, Democratic Republic of the",Ankara,office,,1,,
trv,1,SP,"VIT 34","Congo, Democratic Republic of the",Beijing,office,,1,,
trv,1,SP,"VIT 34","Congo, Democratic Republic of the","Bucharest Global Operations Centre",office,,2,,
trv,2,SP,"VIT 34","Congo, Democratic Republic of the","Case Processing Centre Ottawa",office,,1,,
trv,2,SP,"VIT 34","Congo, Democratic Republic of the",Dakar,office,,1,,
