source,page,category,activity_type,citizenship,office,level,total_2025,total_2019_to_2025,fix_status,fix_note
trv,1,SP,"","","",application_type,1801,18019,,
trv,1,SP,"VIT 34","","",activity_type,1798,17932,,
trv,1,SP,"VIT 34",Afghanistan,"",citizenship,3,56,,
trv,1,SP,"VIT 34",Albania,"",citizenship,,3,,
trv,1,SP,"VIT 34",Algeria,"",citizenship,3,75,,
trv,1,SP,"VIT 34",Angola,"",citizenship,,1,,
trv,1,SP,"VIT 34","Antigua and Barbuda","",citizenship,,2,,
trv,1,SP,"VIT 34",Argentina,"",citizenship,,1,,
trv,1,SP,"VIT 34",Armenia,"",citizenship,,4,,
trv,1,SP,"VIT 34",Australia,"",citizenship,,2,,
trv,1,SP,"VIT 34",Austria,"",citizenship,,1,,
trv,1,SP,"VIT 34",Azerbaijan,"",citizenship,1,18,,
trv,1,SP,"VIT 34","Bahama Islands, The","",citizenship,,2,,
trv,1,SP,"VIT 34",Bahrain,"",citizenship,,3,,
trv,1,SP,"VIT 34",Bangladesh,"",citizenship,7,77,,
trv,1,SP,"VIT 34",Barbados,"",citizenship,,1,,
trv,1,SP,"VIT 34",Belarus,"",citizenship,1,6,,
trv,1,SP,"VIT 34",Belgium,"",citizenship,,2,,
trv,1,SP,"VIT 34",Belize,"",citizenship,,1,,
trv,1,SP,"VIT 34",Brazil,"",citizenship,2,16,,
trv,1,SP,"VIT 34",Burkina-Faso,"",citizenship,,4,,
trv,1,SP,"VIT 34",Burundi,"",citizenship,,1,,
trv,1,SP,"VIT 34","Chad, Republic of","",citizenship,1,1,,
trv,1,SP,"VIT 34",Chile,"",citizenship,,4,,
trv,1,SP,"VIT 34",Colombia,"",citizenship,,60,,
trv,1,SP,"VIT 34",Comoros,"",citizenship,,1,,
trv,1,SP,"VIT 34","Congo, Democratic Republic of the","",citizenship,,11,,
trv,2,SP,"VIT 34","Congo, People's Republic of the","",citizenship,,2,,
trv,2,SP,"VIT 34",Cuba,"",citizenship,,6,,
trv,2,SP,"VIT 34",Cyprus,"",citizenship,,1,,
trv,2,SP,"VIT 34","Czech Republic","",citizenship,1,1,,
trv,2,SP,"VIT 34","Democratic Republic of Sudan","",citizenship,,26,,
trv,2,SP,"VIT 34",Dominica,"",citizenship,,5,,
trv,2,SP,"VIT 34","Dominican Republic","",citizenship,,5,,
trv,2,SP,"VIT 34",Ecuador,"",citizenship,,5,,
trv,2,SP,"VIT 34",Egypt,"",citizenship,8,367,,
trv,2,SP,"VIT 34","El Salvador","",citizenship,,1,,
trv,2,SP,"VIT 34","Equatorial Guinea","",citizenship,,2,,
trv,2,SP,"VIT 34",Eritrea,"",citizenship,,1,,
trv,2,SP,"VIT 34",Ethiopia,"",citizenship,,3,,
trv,2,SP,"VIT 34","Federal Republic of Cameroon","",citizenship,,22,,
trv,2,SP,"VIT 34","Federal Republic of Germany","",citizenship,,4,,
trv,2,SP,"VIT 34",Finland,"",citizenship,1,1,,
trv,2,SP,"VIT 34",France,"",citizenship,1,40,,
trv,2,SP,"VIT 34","Gabon Republic","",citizenship,,1,,
trv,2,SP,"VIT 34",Gambia,"",citizenship,2,4,,
trv,2,SP,"VIT 34",Georgia,"",citizenship,,2,,
trv,2,SP,"VIT 34",Ghana,"",citizenship,2,41,,
trv,2,SP,"VIT 34","Guinea, Republic of","",citizenship,1,13,,
trv,2,SP,"VIT 34",Haiti,"",citizenship,2,17,,
trv,2,SP,"VIT 34",Honduras,"",citizenship,,3,,
trv,2,SP,"VIT 34","Hong Kong SAR","",citizenship,1,33,,
trv,3,SP,"VIT 34",India,"",citizenship,4,297,,
trv,3,SP,"VIT 34",Iran,"",citizenship,744,7886,,
trv,3,SP,"VIT 34",Iraq,"",citizenship,5,108,,
trv,3,SP,"VIT 34",Israel,"",citizenship,1,10,,
trv,3,SP,"VIT 34",Italy,"",citizenship,,2,,
trv,3,SP,"VIT 34",Jamaica,"",citizenship,,1,,
trv,3,SP,"VIT 34",Japan,"",citizenship,,5,,
trv,3,SP,"VIT 34",Jordan,"",citizenship,,448,,
trv,3,SP,"VIT 34",Kazakhstan,"",citizenship,,6,,
trv,3,SP,"VIT 34",Kenya,"",citizenship,1,8,,
trv,3,SP,"VIT 34","Korea, Republic of","",citizenship,,9,,
trv,3,SP,"VIT 34","Kosovo, Republic of","",citizenship,,1,,
trv,3,SP,"VIT 34",Kuwait,"",citizenship,,3,,
trv,3,SP,"VIT 34",Lebanon,"",citizenship,2,208,,
trv,4,SP,"VIT 34",Liberia,"",citizenship,,2,,
trv,4,SP,"VIT 34",Libya,"",citizenship,1,139,,
trv,4,SP,"VIT 34","Macao SAR","",citizenship,,1,,
trv,4,SP,"VIT 34",Madagascar,"",citizenship,,2,,
trv,4,SP,"VIT 34","Mali, Republic of","",citizenship,1,1,,
trv,4,SP,"VIT 34",Mauritania,"",citizenship,,5,,
trv,4,SP,"VIT 34",Mauritius,"",citizenship,1,4,,
trv,4,SP,"VIT 34",Mexico,"",citizenship,,11,,
trv,4,SP,"VIT 34","Mongolia, People's Republic of","",citizenship,,3,,
trv,4,SP,"VIT 34",Morocco,"",citizenship,,57,,
trv,4,SP,"VIT 34","Myanmar (Burma)","",citizenship,,1,,
trv,4,SP,"VIT 34",Nepal,"",citizenship,,7,,
trv,4,SP,"VIT 34",Nicaragua,"",citizenship,,1,,
trv,4,SP,"VIT 34",Nigeria,"",citizenship,30,122,,
trv,4,SP,"VIT 34",Oman,"",citizenship,,3,,
trv,4,SP,"VIT 34",Pakistan,"",citizenship,70,902,,
trv,4,SP,"VIT 34","Palestinian Authority (Gaza/West Bank)","",citizenship,59,204,,
trv,4,SP,"VIT 34","Panama, Republic of","",citizenship,,3,,
trv,5,SP,"VIT 34","Peoples Republic of Benin","",citizenship,,9,,
trv,5,SP,"VIT 34","People's Republic of China","",citizenship,797,5364,,
trv,5,SP,"VIT 34",Peru,"",citizenship,,3,,
trv,5,SP,"VIT 34",Philippines,"",citizenship,1,20,,
trv,5,SP,"VIT 34",Poland,"",citizenship,,1,,
trv,5,SP,"VIT 34",Qatar,"",citizenship,,3,,
trv,5,SP,"VIT 34","Republic of Djibouti","",citizenship,,1,,
trv,5,SP,"VIT 34","Republic of Indonesia","",citizenship,1,3,,
trv,5,SP,"VIT 34","Republic of Ireland","",citizenship,,2,,
trv,5,SP,"VIT 34","Republic of Ivory Coast","",citizenship,,17,,
trv,5,SP,"VIT 34","Republic of South Africa","",citizenship,1,4,,
trv,5,SP,"VIT 34","Republic of the Niger","",citizenship,,9,,
trv,5,SP,"VIT 34",Romania,"",citizenship,,1,,
trv,5,SP,"VIT 34",Russia,"",citizenship,12,125,,
trv,5,SP,"VIT 34",Rwanda,"",citizenship,,9,,
trv,5,SP,"VIT 34","Saudi Arabia","",citizenship,1,45,,
trv,6,SP,"VIT 34",Senegal,"",citizenship,,8,,
trv,6,SP,"VIT 34","Sierra Leone","",citizenship,,1,,
trv,6,SP,"VIT 34","Socialist Republic of Vietnam","",citizenship,4,10,,
trv,6,SP,"VIT 34","Somalia, Democratic Republic of","",citizenship,1,4,,
trv,6,SP,"VIT 34",Spain,"",citizenship,,1,,
trv,6,SP,"VIT 34","Sri Lanka","",citizenship,,6,,
trv,6,SP,"VIT 34","St. Kitts-Nevis","",citizenship,,5,,
trv,6,SP,"VIT 34","St. Lucia","",citizenship,,1,,
trv,6,SP,"VIT 34",Stateless,"",citizenship,1,45,,
trv,6,SP,"VIT 34",Syria,"",citizenship,2,80,,
trv,6,SP,"VIT 34",Tajikistan,"",citizenship,,4,,
trv,6,SP,"VIT 34",Taiwan,"",citizenship,3,12,,
trv,6,SP,"VIT 34","Togo, Republic of","",citizenship,,5,,
trv,6,SP,"VIT 34","Trinidad and Tobago, Republic of","",citizenship,,1,,
trv,6,SP,"VIT 34",Tunisia,"",citizenship,2,567,,
trv,6,SP,"VIT 34",Turkey,"",citizenship,,39,,
trv,6,SP,"VIT 34",Turkmenistan,"",citizenship,,4,,
trv,6,SP,"VIT 34",Uganda,"",citizenship,2,3,,
trv,7,SP,"VIT 34",Ukraine,"",citizenship,1,8,,
trv,7,SP,"VIT 34","United Kingdom and Overseas Territories","",citizenship,,11,,
