page,immigration_category,activity_type,citizenship,office,level,total_2025,grand_total,children_sum_2025,children_sum_grand,check,ocr_confidence_2025,ocr_confidence_grand
41,Economic,,,,immigration_category,8043,54714,8043,54714,reconciled,majority,majority
41,Economic,HIRV Screening,,,activity_type,2,40,2,39,MISMATCH,agree,agree
41,Economic,HIRV Screening,Alaeria,,citizenship,,3,0,3,reconciled,empty,agree
41,Economic,HIRV Screening,Alaeria,Paris,office,,3,,,ok_group,empty,agree
41,Economic,HIRV Screening,Banadladesh,,citizenship,,1,0,1,reconciled,empty,agree
41,Economic,HIRV Screening,Banadladesh,CIO Sydney NS,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,"Condo, Democratic Republic of the",,citizenship,,1,0,1,reconciled,empty,agree
41,Economic,HIRV Screening,"Condo, Democratic Republic of the",Case Processing Centre Ottawa,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,Cuba,,citizenship,,1,0,3,MISMATCH,empty,agree
41,Economic,HIRV Screening,Cuba,Mexico City,office,,1,,,IN_FAILED_GROUP,empty,agree
41,Economic,HIRV Screening,Cuba,Eaypt,office,,1,,,IN_FAILED_GROUP,empty,agree
41,Economic,HIRV Screening,Cuba,CIO Sydney NS,office,,1,,,IN_FAILED_GROUP,empty,agree
41,Economic,HIRV Screening,Haiti,,citizenship,,1,0,1,reconciled,empty,agree
41,Economic,HIRV Screening,Haiti,Mexico City,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,India,,citizenship,1,3,1,3,reconciled,agree,agree
41,Economic,HIRV Screening,India,Case Processing Centre Ottawa,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,India,CIO Sydney NS,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,India,Vancouver Immiaration,office,1,1,,,ok_group,agree,agree
41,Economic,HIRV Screening,Iran,,citizenship,,2,0,2,reconciled,empty,agree
41,Economic,HIRV Screening,Iran,Case Processing Centre Ottawa,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,Iran,RROC,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,Iraq,,citizenship,,2,0,2,reconciled,empty,agree
41,Economic,HIRV Screening,Iraq,Abu Dhabi,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,Iraq,RROC,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,Jamaica,,citizenship,,2,0,2,reconciled,empty,agree
41,Economic,HIRV Screening,Jamaica,CIO Sydney NS,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,Jamaica,Vancouver Immiaration,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,"Korea, Republic of",,citizenship,,2,0,2,reconciled,empty,agree
41,Economic,HIRV Screening,"Korea, Republic of",CIO Sydney NS,office,,2,,,ok_group,empty,agree
41,Economic,HIRV Screening,Nigeria,,citizenship,,3,0,3,reconciled,empty,agree
41,Economic,HIRV Screening,Nigeria,Accra,office,,2,,,ok_group,empty,agree
41,Economic,HIRV Screening,Nigeria,CIO Sydney NS,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,Pakistan,,citizenship,,1,0,1,reconciled,empty,agree
41,Economic,HIRV Screening,Pakistan,London Enaland,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,People's Republic of China,,citizenship,,3,0,3,reconciled,empty,agree
41,Economic,HIRV Screening,People's Republic of China,CIO Sydney NS,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,People's Republic of China,Mexico City,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,People's Republic of China,Montreal Immiaration,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,Philippines,,citizenship,1,6,1,6,reconciled,agree,agree
41,Economic,HIRV Screening,Philippines,CIO Sydney NS,office,,3,,,ok_group,empty,agree
41,Economic,HIRV Screening,Philippines,London Enaland,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,Philippines,Manila,office,1,2,,,ok_group,agree,agree
41,Economic,HIRV Screening,Poland,,citizenship,,1,0,1,reconciled,empty,agree
41,Economic,HIRV Screening,Poland,Vancouver Immiaration,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,Rwanda,,citizenship,,3,0,3,reconciled,empty,agree
41,Economic,HIRV Screening,Rwanda,Case Processing Centre Ottawa,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,Rwanda,CIO Sydney NS,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,Rwanda,Paris,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,"Serbia, Republic of",,citizenship,,2,0,2,reconciled,empty,agree
41,Economic,HIRV Screening,"Serbia, Republic of",Vancouver Immiaration,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,"Serbia, Republic of",Vienna,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,Tunisia,,citizenship,,1,0,1,reconciled,empty,agree
41,Economic,HIRV Screening,Tunisia,CIO Sydney NS,office,,1,,,ok_group,empty,agree
41,Economic,HIRV Screening,Venezuela,,citizenship,,1,0,1,reconciled,empty,agree
41,Economic,HIRV Screening,Venezuela,Mexico City,office,,1,,,ok_group,empty,agree
41,Economic,Org Crime Screening,,,activity_type,9,93,9,91,MISMATCH,agree,agree
41,Economic,Org Crime Screening,Albania,,citizenship,,2,0,2,reconciled,empty,agree
41,Economic,Org Crime Screening,Albania,CIO Sydney NS,office,,2,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Banadladesh,,citizenship,,2,0,2,reconciled,empty,agree
41,Economic,Org Crime Screening,Banadladesh,CIO Sydney NS,office,,2,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Brazil,,citizenship,,6,0,6,reconciled,empty,agree
41,Economic,Org Crime Screening,Brazil,CIO Sydney NS,office,,3,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Brazil,Mexico City,office,,3,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Burkina-Faso,,citizenship,1,1,1,1,reconciled,agree,agree
41,Economic,Org Crime Screening,Burkina-Faso,Montreal Immiaration,office,1,1,,,ok_group,agree,agree
41,Economic,Org Crime Screening,Colombia,,citizenship,,3,0,3,reconciled,empty,agree
41,Economic,Org Crime Screening,Colombia,CIO Sydney NS,office,,3,,,ok_group,empty,agree
41,Economic,Org Crime Screening,El Salvador,,citizenship,,2,0,2,reconciled,empty,agree
41,Economic,Org Crime Screening,El Salvador,Mexico City,office,,2,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Federal Republic of Cameroon,,citizenship,1,3,1,3,reconciled,agree,agree
41,Economic,Org Crime Screening,Federal Republic of Cameroon,Montreal Immiaration,office,1,3,,,ok_group,agree,agree
41,Economic,Org Crime Screening,France,,citizenship,,4,0,4,reconciled,empty,agree
41,Economic,Org Crime Screening,France,CIO Sydney NS,office,,1,,,ok_group,empty,agree
41,Economic,Org Crime Screening,France,Montreal Immiaration,office,,3,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Haiti,,citizenship,,1,0,1,reconciled,empty,agree
41,Economic,Org Crime Screening,Haiti,Mexico City,office,,1,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Hunaary,,citizenship,,1,0,1,reconciled,empty,agree
41,Economic,Org Crime Screening,Hunaary,Vienna,office,,1,,,ok_group,empty,agree
41,Economic,Org Crime Screening,India,,citizenship,,4,0,4,reconciled,empty,agree
41,Economic,Org Crime Screening,India,Case Processing Centre Ottawa,office,,2,,,ok_group,empty,agree
41,Economic,Org Crime Screening,India,CIO Sydney NS,office,,2,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Iran,,citizenship,,6,0,6,reconciled,empty,agree
41,Economic,Org Crime Screening,Iran,CIO Sydney NS,office,,2,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Iran,Paris,office,,4,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Italy,,citizenship,,2,0,2,reconciled,empty,agree
41,Economic,Org Crime Screening,Italy,CIO Sydney NS,office,,2,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Jamaica,,citizenship,,2,0,2,reconciled,empty,agree
41,Economic,Org Crime Screening,Jamaica,Kinaston Jamaica,office,,1,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Jamaica,Mexico City,office,,1,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Libya,,citizenship,,1,0,1,reconciled,empty,agree
41,Economic,Org Crime Screening,Libya,CIO Sydney NS,office,,1,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Mexico,,citizenship,,8,0,8,reconciled,empty,agree
41,Economic,Org Crime Screening,Mexico,CIO Sydney NS,office,,6,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Mexico,Mexico City,office,,2,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Moldova,,citizenship,,1,0,1,reconciled,empty,agree
41,Economic,Org Crime Screening,Moldova,Paris,office,,1,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Morocco,,citizenship,,1,0,1,reconciled,empty,agree
41,Economic,Org Crime Screening,Morocco,Case Processing Centre Ottawa,office,,1,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Nigeria,,citizenship,1,3,1,5,MISMATCH,agree,majority
41,Economic,Org Crime Screening,Nigeria,Accra,office,1,1,,,IN_FAILED_GROUP,agree,agree
41,Economic,Org Crime Screening,Nigeria,Case Processing Centre Ottawa,office,,3,,,IN_FAILED_GROUP,empty,agree
41,Economic,Org Crime Screening,Nigeria,Windsor,office,,1,,,IN_FAILED_GROUP,empty,agree
41,Economic,Org Crime Screening,Pakistan,,citizenship,,1,0,1,reconciled,empty,agree
41,Economic,Org Crime Screening,Pakistan,Hamilton,office,,1,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Peoples Republic of Benin,,citizenship,4,12,4,12,reconciled,agree,agree
41,Economic,Org Crime Screening,Peoples Republic of Benin,CIO Sydney NS,office,1,1,,,ok_group,agree,agree
41,Economic,Org Crime Screening,Peoples Republic of Benin,Montreal Immiaration,office,3,11,,,ok_group,agree,agree
41,Economic,Org Crime Screening,People's Republic of China,,citizenship,,7,0,7,reconciled,empty,agree
41,Economic,Org Crime Screening,People's Republic of China,Case Processing Centre Ottawa,office,,3,,,ok_group,empty,agree
41,Economic,Org Crime Screening,People's Republic of China,Honda Kona,office,,2,,,ok_group,empty,agree
41,Economic,Org Crime Screening,People's Republic of China,Mexico City,office,,1,,,ok_group,empty,agree
41,Economic,Org Crime Screening,People's Republic of China,Vancouver Immiaration,office,,1,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Philippines,,citizenship,,1,0,1,reconciled,empty,agree
41,Economic,Org Crime Screening,Philippines,CIO Sydney NS,office,,1,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Republic of Ivory Coast,,citizenship,2,6,2,6,reconciled,agree,agree
41,Economic,Org Crime Screening,Republic of Ivory Coast,CIO Sydney NS,office,,2,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Republic of Ivory Coast,Montreal Immiaration,office,2,4,,,ok_group,agree,agree
41,Economic,Org Crime Screening,Republic of the Niger,,citizenship,,1,0,1,reconciled,empty,agree
41,Economic,Org Crime Screening,Republic of the Niger,Dakar,office,,1,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Romania,,citizenship,,1,0,1,reconciled,empty,agree
41,Economic,Org Crime Screening,Romania,CIO Sydney NS,office,,1,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Russia,,citizenship,,3,0,3,reconciled,empty,agree
41,Economic,Org Crime Screening,Russia,CIO Sydney NS,office,,2,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Russia,Montreal Immiaration,office,,1,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Sri Lanka,,citizenship,,1,0,1,reconciled,empty,agree
41,Economic,Org Crime Screening,Sri Lanka,Edmonton IRCC,office,,1,,,ok_group,empty,agree
41,Economic,Org Crime Screening,St. Kitts-Nevis,,citizenship,,2,0,2,reconciled,empty,agree
41,Economic,Org Crime Screening,St. Kitts-Nevis,Case Processing Centre Ottawa,office,,2,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Ukraine,,citizenship,,2,0,2,reconciled,empty,agree
41,Economic,Org Crime Screening,Ukraine,CIO Sydney NS,office,,1,,,ok_group,empty,agree
41,Economic,Org Crime Screening,Ukraine,Paris,office,,1,,,ok_group,empty,agree
41,Economic,Org Crime Screening,United Republic of Tanzania,,citizenship,,1,0,1,reconciled,empty,agree
41,Economic,Org Crime Screening,United Republic of Tanzania,Case Processing Centre Edmonton,office,,1,,,ok_group,empty,agree
41,Economic,Security Screening,,,activity_type,8032,54581,8519,53324,MISMATCH,majority,majority
41,Economic,Security Screening,Afghanistan,,citizenship,3,39,5,31,MISMATCH,agree,agree
41,Economic,Security Screening,Afghanistan,Case Processing Centre Ottawa,office,,6,,,IN_FAILED_GROUP,empty,agree
41,Economic,Security Screening,Afghanistan,CIO Sydney NS,office,,3,,,IN_FAILED_GROUP,empty,majority
41,Economic,Security Screening,Afghanistan,Edmonton IRCC,office,1,3,,,IN_FAILED_GROUP,agree,majority
41,Economic,Security Screening,Afghanistan,Etobicoke,office,,,,,IN_FAILED_GROUP,empty,none
41,Economic,Security Screening,Afghanistan,Islamabad,office,,,,,IN_FAILED_GROUP,empty,none
42,Economic,Security Screening,Afghanistan,London Enaland,office,,11,,,IN_FAILED_GROUP,empty,agree
42,Economic,Security Screening,Afghanistan,Montreal Immiaration,office,1,1,,,IN_FAILED_GROUP,agree,agree
42,Economic,Security Screening,Afghanistan,Vancouver Immiaration,office,1,2,,,IN_FAILED_GROUP,agree,agree
42,Economic,Security Screening,Afghanistan,Windsor,office,1,2,,,IN_FAILED_GROUP,agree,agree
42,Economic,Security Screening,Afghanistan,Winnipeq,office,1,3,,,IN_FAILED_GROUP,agree,agree
42,Economic,Security Screening,Albania,,citizenship,413,7,13,67,MISMATCH,majority,agree
42,Economic,Security Screening,Albania,Calaary Citizenship and Immiaration Canada,office,,2,,,IN_FAILED_GROUP,empty,agree
42,Economic,Security Screening,Albania,Case Processing Centre Ottawa,office,2,3,,,IN_FAILED_GROUP,agree,majority
42,Economic,Security Screening,Albania,CIO Sydney NS,office,7,16,,,IN_FAILED_GROUP,agree,agree
42,Economic,Security Screening,Albania,Edmonton IRCC,office,,3,,,IN_FAILED_GROUP,empty,majority
42,Economic,Security Screening,Albania,Etobicoke,office,2,3,,,IN_FAILED_GROUP,agree,majority
42,Economic,Security Screening,Albania,Halifax,office,,11,,,IN_FAILED_GROUP,empty,agree
42,Economic,Security Screening,Albania,Montreal Immiaration,office,,3,,,IN_FAILED_GROUP,empty,majority
42,Economic,Security Screening,Albania,Paris,office,,1,,,IN_FAILED_GROUP,empty,agree
42,Economic,Security Screening,Albania,Vancouver Immiaration,office,2,3,,,IN_FAILED_GROUP,agree,majority
42,Economic,Security Screening,Albania,Whitehorse IRCC,office,,18,,,IN_FAILED_GROUP,empty,agree
42,Economic,Security Screening,Albania,Winnipeq,office,,4,,,IN_FAILED_GROUP,empty,agree
42,Economic,Security Screening,Alaeria,,citizenship,187,798,187,778,MISMATCH,agree,majority
42,Economic,Security Screening,Alaeria,Calaary Citizenship and Immiaration Canada,office,,4,,,IN_FAILED_GROUP,empty,agree
42,Economic,Security Screening,Alaeria,Case Processing Centre Ottawa,office,29,152,,,IN_FAILED_GROUP,agree,agree
42,Economic,Security Screening,Alaeria,Charlottetown IRCC,office,,4,,,IN_FAILED_GROUP,empty,agree
42,Economic,Security Screening,Alaeria,CIO Sydney NS,office,125,406,,,IN_FAILED_GROUP,agree,agree
42,Economic,Security Screening,Alaeria,Dakar,office,,2,,,IN_FAILED_GROUP,empty,agree
42,Economic,Security Screening,Alaeria,Edmonton IRCC,office,1,18,,,IN_FAILED_GROUP,agree,agree
42,Economic,Security Screening,Alaeria,Etobicoke,office,1,2,,,IN_FAILED_GROUP,agree,majority
42,Economic,Security Screening,Alaeria,Honda Kona,office,,1,,,IN_FAILED_GROUP,empty,agree
42,Economic,Security Screening,Alaeria,London,office,,1,,,IN_FAILED_GROUP,empty,agree
42,Economic,Security Screening,Alaeria,London Enaland,office,,1,,,IN_FAILED_GROUP,empty,agree
42,Economic,Security Screening,Alaeria,Montreal Immiaration,office,3,12,,,IN_FAILED_GROUP,agree,agree
