page,application_type,activity_type,citizenship,office,level,total_2025,grand_total,children_sum_2025,children_sum_grand,check,ocr_confidence_2025,ocr_confidence_grand
1,SP,,,,application_type,1801,18019,1801,18019,reconciled,agree,agree
1,SP,VIT 34,,,activity_type,1798,17932,2068,18239,MISMATCH,agree,agree
1,SP,VIT 34,Afghanistan,,citizenship,3,56,3,56,reconciled,agree,agree
1,SP,VIT 34,Afghanistan,Abu Dhabi,office,,23,,,ok_group,empty,agree
1,SP,VIT 34,Afghanistan,Ankara,office,1,11,,,ok_group,agree,agree
1,SP,VIT 34,Afghanistan,Case Processing Centre Ottawa,office,,8,,,ok_group,empty,agree
1,SP,VIT 34,Afghanistan,Islamabad,office,,1,,,ok_group,empty,agree
1,SP,VIT 34,Afghanistan,London Enaland,office,,1,,,ok_group,empty,agree
1,SP,VIT 34,Afghanistan,Manila,office,1,1,,,ok_group,agree,agree
1,SP,VIT 34,Afghanistan,Nairobi,office,,5,,,ok_group,empty,agree
1,SP,VIT 34,Afghanistan,Port of Spain,office,1,1,,,ok_group,agree,agree
1,SP,VIT 34,Afghanistan,Riyadh,office,,1,,,ok_group,empty,agree
1,SP,VIT 34,Afghanistan,Vienna,office,,1,,,ok_group,empty,agree
1,SP,VIT 34,Afghanistan,Warsaw,office,,3,,,ok_group,empty,agree
1,SP,VIT 34,Albania,,citizenship,,3,0,3,reconciled,empty,agree
1,SP,VIT 34,Albania,Ankara,office,,1,,,ok_group,empty,agree
1,SP,VIT 34,Albania,London Enaland,office,,1,,,ok_group,empty,agree
1,SP,VIT 34,Albania,Vienna,office,,1,,,ok_group,empty,agree
1,SP,VIT 34,Alaeria,,citizenship,3,75,3,75,reconciled,agree,majority
1,SP,VIT 34,Alaeria,Abu Dhabi,office,,5,,,ok_group,empty,agree
1,SP,VIT 34,Alaeria,Ankara,office,,1,,,ok_group,empty,agree
1,SP,VIT 34,Alaeria,Case Processing Centre Ottawa,office,,20,,,ok_group,empty,agree
1,SP,VIT 34,Alaeria,CN India,office,,2,,,ok_group,empty,agree
1,SP,VIT 34,Alaeria,CN North Africa,office,1,1,,,ok_group,agree,agree
1,SP,VIT 34,Alaeria,Kyiv,office,,1,,,ok_group,empty,agree
1,SP,VIT 34,Alaeria,Paris,office,1,36,,,ok_group,agree,agree
1,SP,VIT 34,Alaeria,Pretoria,office,1,3,,,ok_group,agree,agree
1,SP,VIT 34,Alaeria,Riyadh,office,,1,,,ok_group,empty,agree
1,SP,VIT 34,Alaeria,Tunis,office,,3,,,ok_group,empty,agree
1,SP,VIT 34,Alaeria,Vienna,office,,2,,,ok_group,empty,agree
1,SP,VIT 34,Angola,,citizenship,,1,0,1,reconciled,empty,agree
1,SP,VIT 34,Angola,Warsaw,office,,1,,,ok_group,empty,agree
1,SP,VIT 34,Antigua and Barbuda,,citizenship,,2,0,2,reconciled,empty,agree
