country,2018,2019,2020,2021,2022,2023,2024,2025_jan_mar
Afghanistan,328,407,456,693,636,463,360,248
Albania,301,384,456,693,636,394,290,241
Algeria,279,335,456,693,636,411,261,241
Angola,289,504,456,693,636,569,364,256
Antigua and Barbuda,272,360,456,693,636,399,238,193
Argentina,266,338,456,693,636,357,210,191
Armenia,291,330,456,693,636,363,296,213
Australia,270,323,456,693,636,365,230,190
Austria,312,336,456,693,636,344,230,247
Azerbaijan,328,368,456,693,636,352,290,198
Azores,380,387,456,693,636,480,381,265
"Bahama Islands, The",268,346,456,693,636,389,255,227
Bahrain,287,368,456,693,636,425,296,253
Bangladesh,286,347,456,693,636,394,258,241
Barbados,263,363,456,693,636,401,225,205
Belarus,271,330,456,693,636,350,231,186
Belgium,287,335,456,693,636,440,283,273
Belize,245,293,456,693,636,355,247,154
Bermuda,299,302,456,693,636,331,297,171
Bhutan,280,355,456,693,636,424,328,205
Bolivia,227,289,456,693,636,349,203,163
Bosnia-Hercegovina,288,325,456,693,636,373,322,223
"Botswana, Republic of",240,322,456,693,636,450,305,251
Brazil,274,337,456,693,636,309,185,192
Brunei,324,336,456,693,636,305,244,209
Bulgaria,275,344,456,693,636,447,337,240
Burkina-Faso,261,328,456,693,636,402,257,264
Burundi,282,319,456,693,636,503,342,321
Cambodia,289,375,456,693,636,459,303,252
Cayman Islands,222,350,456,693,636,249,306,172
Central African Republic,305,389,456,693,636,602,420,412
"Chad, Republic of",368,412,456,693,636,584,442,373
Channel Islands,256,369,456,693,636,310,168,216
Chile,289,329,456,693,636,368,236,211
Colombia,278,355,456,693,636,442,291,263
Comoros,304,334,456,693,636,544,169,179
"Congo, Democratic Republic of the",297,344,456,693,636,484,342,312
"Congo, People's Republic of the",275,337,456,693,636,510,316,322
Costa Rica,257,359,456,693,636,406,234,203
Croatia,269,320,456,693,636,397,249,264
Cuba,274,350,456,693,636,421,290,247
Cyprus,262,339,456,693,636,424,248,241
Czech Republic,374,322,456,693,636,328,219,225
Czechoslovakia,266,304,456,693,636,380,204,469
Democratic Republic of Sudan,318,358,456,693,636,418,350,371
Denmark,295,320,456,693,636,325,261,208
Dominica,252,311,456,693,636,411,253,215
Dominican Republic,302,359,456,693,636,421,265,222
Ecuador,290,357,456,693,636,354,220,194
Egypt,291,381,456,693,636,452,344,340
El Salvador,275,348,456,693,636,380,293,244
Eritrea,294,348,456,693,636,322,308,307
Estonia,294,327,456,693,636,261,179,141
Ethiopia,306,354,456,693,636,362,303,261
Federal Republic of Cameroon,267,330,456,693,636,433,290,250
Federal Republic of Germany,288,331,456,693,636,393,208,176
United States of America,186,169,456,693,636,193,,
Fiji,279,322,456,693,636,319,260,230
Finland,277,332,456,693,636,342,220,211
France,276,332,456,693,636,416,239,223
French Guiana,194,412,456,693,636,594,383,310
French Polynesia,284,343,456,693,636,313,228,343
Gabon Republic,269,361,456,693,636,475,247,220
Gambia,260,306,456,693,636,349,243,282
Georgia,448,389,456,693,636,408,340,242
Ghana,293,365,456,693,636,356,245,195
Greece,277,340,456,693,636,401,242,248
Grenada,300,367,456,693,636,438,298,251
Guadeloupe,271,325,456,693,636,388,247,301
Guatemala,274,348,456,693,636,486,340,310
"Guinea, Republic of",297,342,456,693,636,548,408,320
Guinea-Bissau,263,265,456,693,636,357,332,
Guyana,314,418,456,693,636,466,270,209
Haiti,276,333,456,693,636,566,375,290
Honduras,270,336,456,693,636,430,301,242
Hong Kong,285,336,456,693,636,354,225,195
Hungary,266,361,456,693,636,401,365,242
Iceland,287,314,456,693,636,234,283,276
India,289,359,456,693,636,341,213,195
Iran,292,360,456,693,636,406,268,249
Iraq,312,403,456,693,636,450,412,394
Israel,284,344,456,693,636,359,242,250
Italy,268,332,456,693,636,374,248,228
Jamaica,287,363,456,693,636,382,245,213
Japan,254,332,456,693,636,386,264,222
Jordan,317,340,456,693,636,457,340,273
Kazakhstan,282,330,456,693,636,343,236,240
Kenya,310,358,456,693,636,419,269,249
"Korea, People's Democratic Republic of",304,1401,456,693,636,957,315,311
"Korea, Republic of",280,349,456,693,636,431,256,222
"Kosovo, Republic of",303,369,456,693,636,397,311,304
Kuwait,310,380,456,693,636,423,313,301
Kyrgyzstan,281,351,456,693,636,353,240,198
Laos,300,400,456,693,636,429,255,417
Latvia,266,323,456,693,636,362,244,169
Lebanon,310,358,456,693,636,471,317,297
Liberia,325,374,456,693,636,405,383,356
Libya,284,384,456,693,636,469,370,435
Lithuania,252,347,456,693,636,335,181,106
Luxembourg,267,353,456,693,636,367,321,
Macao,289,342,456,693,636,422,183,
Macedonia,255,329,456,693,636,387,324,241
Madagascar,268,345,456,693,636,376,,208
Malawi,294,335,456,693,636,512,328,212
Malaysia,7,347,456,693,636,397,,293
"Maldives, Republic of",2,287,456,693,636,303,150,
"Mali, Republic of",308,346,456,693,636,494,370,230
Malta,300,390,456,693,636,337,193,417
Martinique,261,336,456,693,636,392,206,203
Mauritania,294,349,456,693,636,572,423,508
Mauritius,267,353,456,693,636,393,230,174
Mexico,273,325,456,693,636,395,244,210
Moldova,269,314,456,693,636,385,250,175
Monaco,273,402,456,693,636,388,240,
"Mongolia, People's Republic of",346,322,456,693,636,409,223,229
"Montenegro, Republic of",313,378,456,693,636,362,244,229
Morocco,284,335,456,693,636,403,253,220
Mozambique,277,332,456,693,636,408,259,186
Myanmar (Burma),301,355,456,693,636,366,276,290
Namibia,261,337,456,693,636,415,365,350
Nepal,274,339,456,693,636,374,234,202
New Caledonia,263,322,456,693,636,366,168,163
New Zealand,274,325,456,693,636,352,209,216
Nicaragua,315,337,456,693,636,344,259,245
Nigeria,270,326,456,693,636,320,237,225
Norway,276,289,456,693,636,412,266,223
Oman,326,354,456,693,636,398,245,243
Pakistan,300,387,456,693,636,419,295,254
Palestinian Authority (Gaza/West Bank),329,415,456,693,636,515,399,337
"Panama, Republic of",433,346,456,693,636,436,242,339
Papua New Guinea,220,325,456,693,636,375,135,347
Paraguay,253,284,456,693,636,393,204,140
Peoples Republic of Benin,267,341,456,693,636,388,281,223
People's Republic of China,301,357,456,693,636,447,288,242
Peru,274,343,456,693,636,448,276,249
Philippines,260,302,456,693,636,359,215,182
Poland,272,348,456,693,636,369,257,213
Portugal,309,373,456,693,636,419,292,233
Puerto Rico,235,295,456,693,636,365,224,327
Qatar,294,370,456,693,636,363,305,285
Republic of Djibouti,277,334,456,693,636,560,499,397
Republic of Indonesia,245,343,456,693,636,352,247,236
Republic of Ireland,266,325,456,693,636,400,224,230
Republic of Ivory Coast,277,332,456,693,636,417,324,256
Republic of South Africa,268,321,456,693,636,315,221,203
Republic of Ireland,,,456,693,636,,333,
Republic of the Niger,281,330,456,693,636,535,290,286
Reunion,263,320,456,693,636,409,228,221
Romania,271,328,456,693,636,406,262,267
Russia,284,348,456,693,636,362,233,232
Rwanda,265,369,456,693,636,445,293,231
Saudi Arabia,306,395,456,693,636,433,338,315
Senegal,266,337,456,693,636,479,263,287
Serbia and Montenegro,280,391,456,693,636,533,351,675
"Serbia, Republic of",270,324,456,693,636,351,212,235
Seychelles,325,327,456,693,636,437,224,
Sierra Leone,297,350,456,693,636,386,290,232
Singapore,293,330,456,693,636,392,254,301
Sint-Maarten,,,456,693,636,,222,182
Slovak Republic,289,309,456,693,636,335,222,191
Slovenia,265,310,456,693,636,352,225,191
Socialist Republic of Vietnam,296,356,456,693,636,354,224,210
"Somalia, Democratic Republic of",321,392,456,693,636,458,444,409
"South Sudan, Republic Of",284,319,456,693,636,319,271,239
Spain,279,332,456,693,636,381,216,195
Sri Lanka,306,366,456,693,636,414,289,228
St. Kitts-Nevis,270,370,456,693,636,408,209,193
St. Lucia,307,386,456,693,636,389,331,279
St. Vincent and the Grenadines,294,383,456,693,636,487,350,249
Surinam,259,344,456,693,636,373,232,147
Swaziland,290,343,456,693,636,373,360,231
Sweden,284,338,456,693,636,439,247,325
Switzerland,275,343,456,693,636,382,257,297
Syria,290,285,456,693,636,476,454,446
Taiwan,278,349,456,693,636,360,230,194
Tajikistan,312,346,456,693,636,416,350,255
Thailand,255,325,456,693,636,392,246,233
The Netherlands,283,333,456,693,636,361,276,260
Tibet,336,416,456,693,636,404,287,317
"Togo, Republic of",262,321,456,693,636,390,257,258
"Trinidad and Tobago, Republic of",311,363,456,693,636,393,242,220
Tunisia,272,341,456,693,636,383,237,222
