country,2018,2019,2020,2021,2022,2023,2024,mar_2025
Afghanistan,13,17,23,28,31,18,16,12
Albania,13,17,19,26,25,14,9,8
Algeria,11,13,17,25,24,16,9,10
Angola,14,16,16,24,23,26,23,12
Antigua and Barbuda,13,14,32,25,25,16,8,8
Argentina,11,15,19,26,21,15,7,8
Armenia,12,15,17,25,26,12,9,9
Australia,11,14,18,25,22,16,8,8
Austria,13,16,19,27,37,15,7,7
Azerbaijan,12,16,17,21,18,14,11,9
Azores,13,16,20,28,36,19,14,14
"Bahama Islands, The",11,19,14,26,20,15,9,10
Bahrain,12,15,18,27,24,16,15,11
Bangladesh,12,15,18,26,25,15,10,10
Barbados,11,16,21,24,22,15,9,9
Belarus,12,15,16,25,22,14,9,8
Belgium,12,14,17,25,25,18,10,10
Belize,11,15,13,26,20,14,14,8
Bermuda,13,15,,25,18,15,9,10
Bhutan,11,15,21,28,35,13,9,12
Bolivia,11,11,16,25,20,15,6,7
Bosnia-Hercegovina,12,14,18,28,25,15,12,10
"Botswana, Republic of",10,14,19,28,25,18,14,11
Brazil,12,15,18,25,19,12,7,7
Brunei,11,15,16,22,14,13,9,7
Bulgaria,12,15,17,25,22,27,9,8
Burkina-Faso,11,13,15,24,29,13,10,10
Burundi,11,13,19,28,28,21,14,13
Cambodia,12,16,18,27,32,17,11,9
Cayman Islands,9,17,16,27,43,12,10,7
Central African Republic,11,18,19,28,33,32,24,14
"Chad, Republic of",12,19,20,27,33,31,24,21
Channel Islands,11,16,16,25,45,9,7,8
Chile,11,15,18,26,25,14,8,8
Colombia,12,15,19,26,26,17,10,11
Comoros,12,10,36,37,15,38,6,6
"Congo, Democratic Republic of the",12,14,19,27,30,21,14,12
"Congo, People's Republic of the",12,15,18,25,26,25,14,12
Costa Rica,12,16,17,27,20,19,10,9
Croatia,12,14,19,27,21,15,9,11
Cuba,12,15,18,28,25,15,11,10
Cyprus,11,16,18,24,26,21,10,6
Czech Republic,11,13,18,24,23,14,8,8
Czechoslovakia,11,14,18,26,24,10,7,7
Democratic Republic of Sudan,13,16,18,29,24,17,19,21
Denmark,12,14,16,25,24,15,8,7
Dominica,10,12,26,28,25,18,8,8
