country,2018_citizen,2018_not_granted,2018_other_closures,2018_total,2019_citizen,2019_not_granted,2019_other_closures,2019_total,2020_citizen,2020_not_granted,2020_other_closures,2020_total,2021_citizen,2021_not_granted,2021_other_closures,2021_total,2022_citizen,2022_not_granted,2022_other_closures,2022_total,2023_citizen,2023_not_granted,2023_other_closures,2023_total,2024_citizen,2024_not_granted,2024_other_closures,2024_total,2025_jan_mar_citizen,2025_jan_mar_not_granted,2025_jan_mar_other_closures,2025_jan_mar_total
Afghanistan,1336,45,6,1387,1973,55,4,2032,852,12,0,864,1115,19,4,1138,3958,54,18,4030,4176,92,58,4326,3672,57,91,3820,1253,18,20,1291
Albania,451,4,0,455,632,3,2,637,277,0,0,277,327,3,0,330,1051,6,6,1063,977,2,7,986,788,7,16,811,177,1,1,179
Algeria,3332,18,4,3354,4237,16,1,4254,1592,3,3,1598,1543,4,4,1551,5200,17,8,5225,5458,31,30,5519,4779,19,51,4849,927,4,9,940
Angola,45,1,0,46,51,0,0,51,21,0,0,21,36,0,0,36,2,84,1,87,102,4,2,108,121,3,3,127,98,0,0,98
Antigua and Barbuda,21,0,0,21,26,0,0,26,6,1,0,7,16,0,0,16,59,1,1,61,58,0,1,59,84,1,2,87,13,1,2,16
Argentina,199,0,0,199,316,0,0,316,152,0,0,152,163,0,0,163,575,1,1,577,544,3,8,555,449,1,5,455,117,0,0,117
Armenia,213,1,1,215,328,2,0,330,187,0,0,187,264,0,0,264,413,2,3,418,307,1,5,313,168,0,3,171,48,0,1,49
Australia,609,0,3,612,857,2,1,860,324,0,0,324,541,0,3,544,1652,1,15,1668,1686,3,18,1707,1464,2,20,1486,257,1,1,259
Austria,41,0,1,42,56,0,0,56,17,0,0,17,28,0,1,29,63,0,1,64,63,0,2,65,53,0,2,55,7,0,0,7
Azerbaijan,103,2,1,106,134,2,0,136,70,1,0,71,90,0,0,90,386,1,0,387,400,2,2,404,486,2,18,506,142,1,3,146
Azores,48,0,1,49,127,0,0,127,46,0,1,47,44,0,0,44,154,2,6,162,125,0,2,127,135,0,3,138,26,1,2,29
"Bahama Islands, The",42,1,0,43,65,0,0,65,31,1,0,32,40,0,0,40,150,,,150,153,3,1,157,228,1,5,234,66,0,1,67
Bahrain,102,0,0,102,126,0,0,126,56,0,0,56,80,0,0,80,182,0,1,183,185,1,2,188,192,1,3,196,34,0,1,35
Bangladesh,3220,22,7,3249,3586,24,13,3623,1510,5,5,1520,1661,11,2,1674,5061,22,9,5092,4564,33,50,4647,3474,24,46,3544,785,14,10,809
Barbados,56,0,1,57,97,2,0,99,65,0,0,65,82,0,0,82,266,0,2,268,230,0,3,233,264,1,3,268,62,0,1,63
Belarus,252,0,3,255,310,1,1,312,180,0,1,181,201,0,0,201,542,1,3,546,413,2,3,418,296,1,4,301,61,0,0,61
Belgium,269,1,1,271,396,0,0,396,182,0,1,183,212,0,0,212,561,3,3,567,607,2,5,614,626,1,9,636,125,1,3,129
Belize,38,0,0,38,52,0,0,52,23,0,0,23,37,0,0,37,63,,,63,50,,,50,72,0,1,73,13,0,0,13
Bermuda,21,0,0,21,18,0,0,18,6,0,0,6,15,0,0,15,40,1,0,41,34,0,2,36,34,0,2,36,10,0,0,10
Bhutan,285,14,0,299,292,16,1,309,90,3,1,94,126,1,0,127,215,4,3,222,308,4,12,324,220,4,5,229,31,1,2,34
Bolivia,101,0,1,102,109,1,4,114,48,0,0,48,90,0,0,90,174,1,1,176,138,0,3,141,153,1,2,156,34,0,0,34
Bosnia-Hercegovina,151,2,2,155,192,0,0,192,97,0,1,98,150,0,1,151,311,4,3,318,258,1,3,262,168,4,4,176,50,1,2,53
"Botswana, Republic of",113,0,0,113,93,0,0,93,35,0,0,35,35,0,0,35,92,1,1,94,98,0,2,100,102,2,0,104,20,0,1,21
Brazil,1288,4,4,1296,2036,5,6,2047,840,2,0,842,1349,1,2,1352,5276,7,10,5293,6853,10,29,6892,9360,5,52,9417,2172,4,10,2186
Brunei,17,1,0,18,22,0,0,22,8,0,0,8,8,0,0,8,21,0,0,21,22,0,0,22,16,0,1,17,11,0,0,11
Bulgaria,404,0,1,405,460,3,0,463,175,0,1,176,223,2,0,225,447,1,4,452,282,3,7,292,190,1,13,204,45,2,0,47
Burkina-Faso,284,1,1,286,281,1,0,282,113,1,0,114,143,0,2,145,361,2,0,363,341,1,1,343,385,5,3,393,89,1,1,91
Burundi,496,9,3,508,622,9,2,633,275,0,1,276,325,1,6,332,1091,20,10,1121,1740,17,19,1776,1792,16,25,1833,512,11,10,533
Cambodia,199,13,2,214,287,19,1,307,96,1,0,97,130,2,1,133,319,7,1,327,372,14,10,396,275,10,12,297,59,2,2,63
Cayman Islands,9,0,0,9,13,0,0,13,8,0,0,8,6,0,0,6,19,0,0,19,12,0,1,13,19,0,0,19,3,0,0,3
Central African Republic,35,0,0,35,39,4,0,43,38,0,1,39,40,1,0,41,179,6,0,185,248,8,10,266,212,10,10,232,60,2,2,64
"Chad, Republic of",61,1,2,64,101,1,0,102,22,0,0,22,35,1,1,37,235,3,3,241,235,3,4,242,210,12,4,226,91,6,8,105
Channel Islands,3,0,0,3,13,0,0,13,7,0,0,7,6,0,0,6,12,1,0,13,11,0,0,11,13,0,0,13,4,0,0,4
Chile,196,2,2,200,276,1,0,277,132,0,0,132,155,1,1,157,537,2,0,539,571,3,7,581,624,2,12,638,127,0,2,129
Colombia,2521,22,5,2548,3209,11,10,3230,1196,2,3,1201,1469,8,2,1479,4329,17,18,4364,3745,40,31,3816,4069,38,52,4159,1150,18,11,1179
Comoros,18,1,0,19,6,0,0,6,5,0,0,5,8,0,0,8,17,0,0,17,16,0,1,17,9,0,0,9,4,0,0,4
"Congo, Democratic Republic of the",1058,24,11,1093,1403,33,20,1456,604,3,15,622,754,13,15,782,2417,38,23,2478,2627,41,44,2712,2351,36,80,2467,650,16,20,686
"Congo, People's Republic of the",120,2,1,123,140,2,3,145,59,0,1,60,71,1,0,72,258,5,0,263,246,2,5,253,224,1,4,229,73,5,0,78
Costa Rica,81,0,1,82,128,1,1,130,59,0,0,59,71,1,0,72,203,3,0,206,209,2,3,214,225,3,1,229,51,0,2,53
Croatia,122,1,0,123,251,0,0,251,148,0,0,148,180,1,0,181,527,2,4,533,369,4,7,380,323,1,1,325,57,0,2,59
Cuba,766,0,2,768,965,8,2,975,421,1,1,423,501,6,0,507,1351,4,5,1360,1205,10,23,1238,965,13,24,1002,204,6,2,212
Cyprus,24,0,0,24,40,0,0,40,17,0,0,17,18,0,0,18,59,0,0,59,63,0,3,66,41,0,0,41,12,0,0,12
Czech Republic,127,1,1,129,214,0,2,216,93,0,0,93,145,0,1,146,387,1,2,390,319,1,2,322,311,0,4,315,53,0,0,53
Czechoslovakia,19,0,0,19,36,0,0,36,14,0,0,14,32,0,0,32,60,0,0,60,43,0,2,45,35,0,1,36,4,0,0,4
Democratic Republic of Sudan,437,16,0,453,645,26,0,671,280,1,2,283,401,5,7,413,1403,17,14,1434,1539,33,40,1612,1457,40,44,1541,331,5,10,346
Denmark,145,0,1,146,137,0,0,137,54,0,0,54,67,1,0,68,164,0,2,166,168,0,3,171,139,6,0,145,23,0,0,23
Dominica,23,0,0,23,24,0,0,24,13,0,0,13,17,0,0,17,63,0,1,64,71,0,1,72,5,0,0,5,16,0,0,16
Dominican Republic,340,4,0,344,531,6,2,539,263,2,0,265,267,4,7,278,896,6,5,907,917,9,10,936,937,1,29,967,218,4,4,226
Ecuador,246,2,3,251,347,0,2,349,124,0,0,124,198,0,0,198,477,0,1,478,529,1,6,536,646,4,11,661,147,1,0,148
Egypt,4100,21,21,4142,4096,21,20,4137,1498,8,8,1514,1874,17,3,1894,5216,26,22,5264,4440,42,43,4525,3337,36,51,3424,734,8,14,756
El Salvador,476,2,0,478,705,4,5,714,252,1,0,253,330,1,0,331,1054,6,8,1068,1019,18,4,1041,1048,9,30,1087,246,0,5,251
Eritrea,644,21,5,670,1130,39,5,1174,481,8,1,490,721,13,1,735,3119,48,33,3200,5309,66,72,5447,4113,95,76,4284,733,25,16,774
Estonia,21,0,0,21,32,0,0,32,5,9,0,14,16,9,0,25,50,1,0,51,41,0,1,42,36,0,0,36,9,0,0,9
Ethiopia,1115,46,6,1167,1513,34,11,1558,575,7,6,588,774,9,6,789,3097,29,25,3151,3428,48,60,3536,2732,43,55,2830,669,14,8,691
Federal Republic of Germany,2151,10,5,2166,2457,7,5,2469,939,5,3,947,1091,11,4,1106,3540,16,7,3563,3319,18,22,3359,3470,30,37,3537,724,3,18,745
France,893,2,4,899,1150,2,7,1159,438,0,4,442,688,2,7,697,1265,3,28,1296,1267,2,50,1319,2389,3,30,2422,1120,1,6,1127
United States of America,19,0,0,19,1,0,0,1,2,0,0,2,1,0,0,1,1,0,0,1,5,0,0,5,0,0,0,0,0,0,0,0
Fiji,174,1,0,175,235,2,3,240,100,2,0,102,7,0,0,7,350,1,7,358,316,0,2,318,196,4,6,206,59,1,1,61
Finland,40,9,9,58,79,0,0,79,27,1,0,28,9,0,0,9,107,0,0,107,129,0,1,130,113,0,3,116,15,1,0,16
France,3832,11,11,3854,5494,7,13,5514,2313,1,3,2317,2732,6,4,2742,8166,16,48,8230,8251,9,64,8324,9246,34,139,9419,2039,5,35,2079
French Guiana,2,0,0,2,2,0,0,2,7,0,0,7,1,0,0,1,41,,,11,17,0,1,18,13,0,0,13,1,0,0,1
French Polynesia,4,0,0,4,14,0,0,14,7,0,0,7,4,0,0,4,37,,,17,26,0,0,26,29,0,0,29,8,0,0,8
Slovak Republic,63,0,1,64,95,0,1,96,34,0,0,34,38,0,0,38,114,1,1,116,78,0,1,79,95,0,0,95,16,0,0,16
Zambia,40,1,0,41,30,0,0,30,22,0,0,22,22,0,0,22,80,,,80,67,3,0,70,89,1,0,90,15,0,0,15
Georgia,98,1,4,103,138,3,0,141,53,0,0,53,73,2,0,75,216,0,1,217,207,3,3,213,235,6,3,244,86,3,1,90
Ghana,470,5,4,479,567,8,4,579,258,0,1,259,392,6,2,400,1155,5,6,1166,1253,20,13,1286,1367,12,19,1398,306,1,3,310
Greece,224,1,0,225,388,1,2,391,161,1,0,162,213,3,1,217,515,0,5,520,461,2,7,470,388,0,7,395,99,0,1,100
Grenada,44,9,9,62,144,0,0,144,66,0,1,67,65,0,1,66,199,3,3,205,195,3,6,204,180,3,2,185,40,0,1,41
Guadeloupe,21,0,0,21,35,0,0,35,12,0,0,12,22,0,0,22,44,,,44,50,0,0,50,47,0,1,48,14,0,2,16
Guatemala,182,3,1,186,296,1,1,298,115,0,0,115,121,1,0,122,378,3,4,385,367,5,7,379,309,2,10,321,98,1,4,103
"Guinea, Republic of",352,4,3,359,361,2,4,367,145,2,1,148,147,2,0,149,523,7,0,530,508,11,11,530,493,13,23,529,101,4,7,112
Guinea-Bissau,4,0,0,4,5,0,0,5,3,0,0,3,2,0,0,2,8,,,8,6,0,0,6,7,0,0,7,0,0,0,0
Guyana,450,5,7,462,726,4,5,735,314,1,1,316,381,2,1,384,1087,8,9,1104,978,12,26,1016,803,5,16,824,158,1,3,162
Haiti,3104,42,8,3154,4105,71,16,4192,1437,11,5,1453,1334,23,9,1366,4552,40,24,4616,4282,60,125,4467,3369,46,170,3585,1190,19,40,1249
Honduras,235,2,1,238,410,2,0,412,154,1,1,156,170,0,1,171,538,2,8,548,478,6,7,491,448,3,9,460,139,1,4,144
Hong Kong,724,6,4,734,1027,3,2,1032,402,1,2,405,658,1,3,662,1824,10,8,1842,1988,3,22,2013,1739,5,24,1768,382,2,5,389
Hungary,200,1,0,201,321,3,4,328,154,0,0,154,201,1,2,204,541,5,4,550,434,5,12,451,450,1,9,460,142,1,3,146
Iceland,19,0,0,19,22,0,0,22,6,0,0,6,6,0,0,6,33,1,0,34,20,0,0,20,26,0,0,26,2,0,0,2
India,19312,133,51,19496,31060,147,56,31263,15292,47,41,15380,20709,72,42,20823,59163,167,248,59578,78180,222,571,78973,87653,220,973,88846,20255,49,250,20554
Iran,10011,58,24,10093,14013,53,24,14090,4873,20,6,4899,4840,43,16,4899,13048,53,38,13139,10724,63,130,10917,10333,65,199,10597,3045,22,74,3141
Iraq,3929,85,17,4031,5038,123,22,5183,1999,46,7,2052,2252,36,9,2297,7735,83,23,7841,6097,82,71,6250,3661,91,91,3843,701,38,19,758
Israel,707,1,4,712,1065,4,0,1069,542,0,0,542,741,1,1,743,1751,8,11,1770,1457,7,11,1475,1249,10,9,1268,247,3,2,252
Italy,529,0,2,531,801,3,1,805,394,0,1,395,457,2,0,459,1242,5,7,1254,1254,3,18,1275,1230,11,16,1257,271,3,5,279
Jamaica,1705,7,2,1714,2724,17,9,2750,1408,8,1,1417,1746,16,2,1764,5409,44,37,5490,5122,43,56,5221,5408,47,84,5539,1172,14,18,1204
Japan,189,0,1,190,263,3,6,272,116,0,0,116,128,1,2,131,277,0,8,285,249,0,19,268,252,1,15,268,50,0,1,51
Jordan,912,13,4,929,1058,7,2,1067,643,4,6,653,746,5,7,758,1862,11,14,1887,1386,14,15,1415,1037,9,19,1065,209,3,1,213
Kazakhstan,377,2,0,379,471,3,0,474,232,2,0,234,319,0,0,319,779,2,5,786,664,2,9,675,630,3,9,642,178,0,5,183
Kenya,703,12,4,719,844,7,5,856,348,8,2,358,503,8,6,517,1113,10,5,1128,1119,12,16,1147,1164,12,20,1196,298,5,12,315
"Korea, People's Democratic Republic of",3,0,0,3,3,10,1,14,2,0,0,2,2,1,0,3,14,0,1,15,8,1,0,9,10,0,0,10,4,0,0,4
"Korea, Republic of",2385,12,10,2407,3345,11,18,3374,1242,4,8,1254,1384,10,17,1411,2565,4,72,2641,2182,3,86,2271,2341,6,86,2433,490,0,20,510
"Kosovo, Republic of",116,4,0,120,151,3,1,155,55,0,0,55,102,1,0,103,270,4,2,276,275,2,5,282,227,3,3,233,47,1,2,50
Kuwait,722,13,5,740,820,5,7,832,332,1,1,334,416,1,0,417,1145,4,3,1152,1028,4,7,1039,863,5,18,886,209,2,7,218
Kyrgyzstan,180,0,0,180,144,0,0,144,109,1,0,110,175,0,0,175,302,1,0,303,214,2,1,217,159,1,4,164,52,0,0,52
Laos,17,2,0,19,27,1,0,28,9,0,0,9,15,0,0,15,33,0,2,35,55,2,1,58,35,1,0,36,7,0,0,7
Latvia,126,2,0,128,133,0,0,133,54,1,0,55,84,0,0,84,196,0,1,197,125,0,1,126,105,1,0,106,35,0,2,37
Lebanon,2136,37,15,2188,2588,41,4,2633,1103,12,7,1122,1256,15,9,1280,3478,27,13,3518,3162,39,31,3232,2787,15,44,2846,670,9,9,688
Liberia,63,1,2,66,81,0,1,82,26,0,0,26,30,5,1,36,128,5,4,137,123,1,2,126,107,6,6,119,32,1,2,35
Libya,392,5,0,397,514,1,0,515,190,0,0,190,287,4,0,291,1046,9,3,1058,846,8,13,867,845,2,26,873,217,7,5,229
Lithuania,45,0,1,46,79,1,0,80,49,0,0,49,50,0,0,50,97,0,2,99,102,1,0,103,66,0,1,67,17,0,0,17
Luxembourg,15,0,0,15,19,0,0,19,8,0,0,8,11,0,0,11,16,0,0,16,18,,,18,15,0,0,15,10,0,0,10
Macao,28,2,0,30,53,0,1,54,7,0,0,7,19,1,0,20,64,0,1,65,48,0,1,49,43,0,2,45,7,0,0,7
Macedonia,109,1,0,110,139,0,0,139,69,0,0,69,93,0,0,93,194,0,0,194,133,1,1,135,125,1,4,130,26,0,0,26
Madagascar,210,0,0,210,186,0,0,186,61,0,0,61,71,0,0,71,250,1,0,251,198,1,3,202,270,1,3,274,76,0,0,76
Malawi,29,0,0,29,23,0,0,23,7,0,0,7,12,1,0,13,39,1,0,40,55,0,3,58,54,6,1,61,12,0,0,12
Malaysia,320,1,1,322,412,2,3,417,139,0,1,140,206,2,0,208,524,0,4,528,472,4,8,484,423,5,15,443,89,0,0,89
"Maldives, Republic of",1,0,0,1,1,0,0,1,0,0,0,0,3,0,0,3,5,,,5,,,,4,3,0,0,3,0,0,0,0
"Mali, Republic of",160,3,0,163,181,3,1,185,104,0,0,104,105,1,1,107,284,2,0,286,296,6,2,304,282,1,13,296,70,0,0,70
Malta,16,0,0,16,14,0,0,14,9,9,0,18,12,0,0,12,23,0,0,23,20,,,20,18,0,0,18,6,0,1,7
Martinique,21,0,0,21,37,0,0,37,16,0,0,16,12,0,0,12,3,16,25,44,45,0,2,47,51,0,1,52,6,0,1,7
