country,2018,2019,2020,2021,2022,2023,2024,2025_jan_mar
Afghanistan,161,138,333,303,151,114,96,94
Albania,98,177,404,507,389,198,104,28
Algeria,119,127,271,407,355,164,109,43
Angola,141,110,406,461,346,358,144,26
Antigua and Barbuda,118,234,361,490,296,144,154,26
Argentina,98,119,310,413,373,214,91,37
Armenia,111,233,300,563,368,187,340,103
Australia,53,61,172,267,242,159,96,53
Austria,98,193,337,456,384,229,93,30
Azerbaijan,94,195,347,469,315,250,132,96
Azores,71,281,196,456,285,168,82,19
"Bahama Islands, The",121,356,391,437,392,309,100,22
Bahrain,94,199,284,323,409,208,131,257
Bangladesh,176,232,336,476,411,239,121,68
Barbados,83,137,317,462,378,262,148,99
Belarus,141,118,159,500,359,193,163,67
Belgium,94,109,278,373,398,187,113,120
Belize,183,438,393,550,382,256,160,143
Bermuda,93,217,341,447,365,239,81,60
Bhutan,76,40,407,455,308,252,69,18
Bolivia,281,445,417,528,491,309,111,58
Bosnia-Hercegovina,118,193,291,405,360,220,102,42
"Botswana, Republic of",95,112,563,432,124,141,93,151
Brazil,125,175,334,431,382,230,100,85
Brunei,114,205,274,529,325,217,160,31
Bulgaria,76,140,334,463,335,204,118,60
Burkina-Faso,106,189,513,413,341,171,94,111
Burundi,95,169,259,426,335,155,141,24
Cambodia,155,296,296,510,405,265,145,88
Cayman Islands,116,164,301,469,396,217,133,123
Central African Republic,445,820,560,475,562,256,226,668
"Chad, Republic of",190,480,408,469,461,368,159,87
Channel Islands,133,215,366,491,424,183,95,24
Chile,86,171,295,402,322,188,139,110
Colombia,108,180,313,432,365,227,137,122
"Congo, Democratic Republic of the",187,255,331,440,372,232,216,72
"Congo, People's Republic of the",133,180,382,451,447,382,303,41
Costa Rica,103,176,342,464,384,238,111,50
Croatia,139,257,303,404,347,253,129,18
Cuba,104,225,351,527,418,234,163,81
Cyprus,210,339,357,462,483,329,109,75
Czech Republic,76,82,289,377,354,195,102,40
Czechoslovakia,117,122,350,431,381,149,109,24
Democratic Republic of Sudan,109,263,408,469,372,207,99,59
Denmark,107,140,288,443,371,192,119,59
Dominica,87,207,459,469,351,201,85,142
Dominican Republic,137,280,384,452,405,267,146,241
Ecuador,96,206,317,496,374,234,102,46
Egypt,114,180,338,461,390,178,83,69
