country,2018,2019,2020,2021,2022,2023,2024,mar_2025
Afghanistan,4,7,14,13,4,7,3,8
Albania,3,7,20,17,14,9,4,3
Algeria,4,7,14,16,15,7,5,3
Angola,4,7,15,17,15,10,11,11
Antigua and Barbuda,3,21,14,22,9,5,8,1
Argentina,4,9,13,17,15,11,3,2
Armenia,3,23,12,,12,9,17,10
Australia,3,5,13,16,14,7,5,3
Austria,3,18,15,16,15,8,4,3
Azerbaijan,3,29,21,20,16,10,9,8
Azores,3,23,12,16,13,6,2,1
"Bahama Islands, The",3,27,14,17,15,10,5,2
Bahrain,4,17,22,15,14,6,9,16
Bangladesh,4,20,14,18,15,10,5,2
Barbados,3,7,14,16,14,6,6,9
Belarus,4,7,11,23,13,10,2,3
Belgium,3,10,14,17,15,6,5,7
Belize,20,23,15,21,15,14,8,9
Bermuda,4,17,13,17,15,10,4,4
Bhutan,3,,14,14,9,,3,3
Bolivia,20,23,20,20,25,13,5,3
Bosnia-Hercegovina,3,16,14,17,14,9,8,4
"Botswana, Republic of",6,7,28,20,2,5,9,10
Brazil,4,20,14,18,15,9,4,3
Brunei,3,21,12,24,10,8,1,2
Bulgaria,4,15,13,17,14,7,8,8
Burkina-Faso,12,19,19,16,15,6,4,9
Burundi,3,7,14,19,16,7,8,2
Cambodia,4,26,13,18,15,15,3,9
Cayman Islands,4,24,13,23,14,6,8,9
Central African Republic,,,43,21,27,8,9,22
"Chad, Republic of",,28,13,16,18,14,10,10
Channel Islands,3,19,14,,16,5,5,2
Chile,3,18,14,16,14,6,5,5
Colombia,3,21,14,16,15,11,5,7
"Congo, Democratic Republic of the",5,21,14,17,16,11,7,3
"Congo, People's Republic of the",22,18,13,16,21,14,22,7
Costa Rica,4,13,14,16,14,10,4,4
Croatia,4,22,14,17,15,13,5,3
Cuba,4,20,19,20,15,13,9,10
Cyprus,12,20,14,16,21,13,8,4
Czech Republic,3,6,14,16,15,10,4,2
Czechoslovakia,3,7,13,17,15,6,5,1
Democratic Republic of Sudan,3,25,14,17,14,6,8,9
Denmark,3,7,14,16,15,8,5,4
Dominica,5,28,16,,15,12,2,10
Dominican Republic,4,24,17,21,16,13,8,10
Ecuador,3,16,14,26,14,14,2,2
Egypt,3,20,14,17,15,7,4,4
El Salvador,4,22,14,17,15,6,2,2
Eritrea,4,27,18,18,15,11,6,7
Estonia,3,7,8,18,16,8,2,3
Ethiopia,4,29,14,17,15,11,9,10
Federal Republic of Cameroon,4,22,15,16,16,9,9,9
Federal Republic of Germany,4,7,14,17,15,9,4,3
Fiji,4,19,14,24,15,9,3,3
Finland,3,7,14,19,15,6,5,9
France,3,8,14,16,15,7,4,3
French Polynesia,6,26,,14,13,1,1,2
Gabon Republic,7,7,18,17,19,8,8,21
Gambia,21,24,14,44,32,28,8,42
Georgia,1,6,12,16,14,6,3,9
Ghana,4,28,14,25,15,15,10,11
Greece,3,13,14,17,14,7,2,1
Grenada,3,15,13,17,14,6,2,1
Guadeloupe,3,,15,,15,12,5,5
Guatemala,4,22,14,19,14,10,4,4
"Guinea, Republic of",4,19,20,22,15,19,8,10
Guyana,4,20,16,17,15,8,3,3
Haiti,4,15,15,18,14,9,5,4
Honduras,3,16,13,18,15,16,2,1
Hong Kong,3,8,13,17,15,6,2,2
Hungary,3,15,13,16,15,10,4,2
Iceland,3,11,8,1,16,6,9,3
India,3,10,14,17,15,8,4,3
Iran,3,7,14,16,15,6,4,4
Iraq,3,23,14,19,15,12,3,
Israel,4,9,14,17,15,6,1,1
Italy,4,11,14,18,15,10,3,3
Jamaica,3,9,14,18,15,10,3,4
Japan,3,3,13,16,13,8,4,4
Jordan,4,22,14,20,14,9,2,2
Kazakhstan,4,7,13,18,16,3,8,2
Kenya,4,19,1,19,15,11,,15
"Korea, People's Democratic Republic of",3,8,12,18,14,8,,
"Korea, Republic of",3,7,13,16,15,6,3,2
"Kosovo, Republic of",11,22,13,20,17,11,5,1
Kuwait,4,7,13,16,15,8,3,
Kyrgyzstan,3,7,14,,15,9,2,4
Laos,4,20,15,15,14,6,6,9
Latvia,4,7,1,16,12,6,3,4
Lebanon,3,8,14,18,15,7,1,1
Liberia,4,7,13,17,15,7,14,10
Libya,3,7,14,16,16,13,8,5
Lithuania,3,11,,15,12,11,8,1
Luxembourg,14,24,12,16,14,7,3,5
Macao,3,19,13,20,15,6,2,2
Macedonia,3,18,13,16,15,11,2,1
Madagascar,22,35,15,20,14,13,14,16
Malawi,19,,,28,15,,4,4
Malaysia,4,20,15,17,14,11,2,8
"Mali, Republic of",3,27,15,25,16,9,5,2
Malta,3,8,14,14,14,9,2,4
Martinique,2,,13,15,14,13,4,4
Mauritania,23,7,,17,15,14,9,9
Mauritius,3,8,13,17,13,5,3,3
Mexico,11,24,17,21,16,12,8,9
Moldova,5,14,14,15,14,6,4,4
