country,2018_approved,2018_refused,2018_total,2019_approved,2019_refused,2019_total,2020_approved,2020_refused,2020_total,2021_approved,2021_refused,2021_total,2022_approved,2022_refused,2022_total,2023_approved,2023_refused,2023_total,2024_approved,2024_refused,2024_total,2025_jan_mar_approved,2025_jan_mar_refused,2025_jan_mar_total
Afghanistan,274,0,274,164,1,165,102,0,102,243,2,245,327,6,333,123,5,128,182,3,185,41,1,42
Albania,40,0,40,37,0,37,20,0,20,18,0,18,45,0,45,40,0,40,29,3,32,7,0,7
Algeria,203,3,206,163,5,168,82,2,84,145,4,149,198,1,199,256,4,260,243,2,245,60,0,60
Angola,27,0,27,18,1,19,16,0,16,24,1,25,27,0,27,18,1,19,31,0,31,4,0,4
Antigua and Barbuda,12,0,12,9,0,9,8,1,9,6,0,6,10,0,10,13,0,13,8,1,9,1,0,1
Argentina,123,0,123,73,1,74,56,0,56,78,0,78,105,2,107,104,3,107,115,0,115,22,0,22
Armenia,20,0,20,10,0,10,6,0,6,5,0,5,14,0,14,25,0,25,10,0,10,8,0,8
Australia,1837,12,1849,1240,14,1254,824,15,839,853,21,874,1499,11,1510,1670,19,1689,1549,1,1550,417,0,417
Austria,111,0,111,61,2,63,63,2,65,51,0,51,118,2,120,74,2,76,108,1,109,26,0,26
Azerbaijan,21,0,21,11,0,11,9,0,9,14,0,14,14,0,14,10,0,10,18,0,18,1,0,1
Azores,22,0,22,8,0,8,3,0,3,5,0,5,8,0,8,3,0,3,10,0,10,3,0,3
"Bahama Islands, The",34,2,36,18,5,23,17,4,21,19,2,21,33,0,33,31,3,34,20,0,20,8,0,8
Bahrain,31,0,31,28,2,30,13,0,13,16,0,16,44,0,44,24,1,25,31,0,31,7,0,7
Bangladesh,189,1,190,137,1,138,101,0,101,106,1,107,182,0,182,173,2,175,144,3,147,27,0,27
Barbados,87,1,88,40,0,40,31,1,32,28,1,29,42,0,42,59,6,65,51,0,51,15,0,15
Belarus,31,0,31,23,0,23,11,0,11,30,0,30,35,0,35,26,0,26,19,9,28,1,0,1
Belgium,228,4,232,139,5,144,96,0,96,116,0,116,176,2,178,191,0,191,177,1,178,32,1,33
Belize,37,2,39,47,7,54,26,6,32,20,10,30,22,3,25,46,4,50,75,2,77,15,0,15
Bermuda,106,0,106,60,0,60,43,1,44,70,5,75,95,0,95,97,3,100,93,0,93,17,0,17
Bhutan,3,0,3,3,0,3,1,0,1,2,0,2,4,0,4,1,0,1,9,0,9,3,0,3
Bolivia,92,12,104,103,23,126,82,28,110,86,21,107,68,9,77,88,22,110,220,1,221,59,0,59
