application_type,country_raw,country,iso3,2019,2020,2021,2022,2023,2024,2025_jan_jul
PR,Afghanistan,Afghanistan,AFG,--,--,70,50,55,35,5
PR,Albania,Albania,ALB,--,0,0,0,0,--,0
PR,Algeria,Algeria,DZA,--,--,0,0,0,0,0
PR,Angola,Angola,AGO,0,0,--,--,0,--,0
PR,Armenia,Armenia,ARM,0,0,0,--,0,0,0
PR,Australia,Australia,AUS,0,0,0,0,--,0,0
PR,Austria,Austria,AUT,0,--,0,0,0,0,0
PR,Azerbaijan,Azerbaijan,AZE,--,0,0,0,0,0,0
PR,Bangladesh,Bangladesh,BGD,15,5,10,10,--,--,0
PR,Barbados,Barbados,BRB,0,--,0,0,0,0,0
PR,Belgium,Belgium,BEL,0,0,--,0,0,0,0
PR,Bosnia-Hercegovina,Bosnia and Herzegovina,BIH,0,0,0,--,0,0,0
PR,Bulgaria,Bulgaria,BGR,--,--,0,--,0,0,0
PR,Burundi,Burundi,BDI,--,--,--,0,--,--,0
PR,"Chad, Republic of",Chad,TCD,--,0,0,0,0,0,0
PR,Colombia,Colombia,COL,--,--,5,0,0,5,0
PR,"Congo, Democratic Repu","Congo, Democratic Republic of the",COD,--,0,--,0,--,0,0
PR,Cuba,Cuba,CUB,--,--,0,0,0,0,0
PR,Democratic Republic of S,Sudan,SDN,--,--,--,0,--,--,0
PR,Denmark,Denmark,DNK,0,0,0,--,0,0,0
PR,Dominican Republic,Dominican Republic,DOM,--,0,0,0,0,0,0
PR,"East Timor, Democratic F",East Timor (Timor-Leste),TLS,--,0,0,0,0,0,0
PR,Ecuador,Ecuador,ECU,--,0,0,0,0,0,0
PR,Egypt,Egypt,EGY,--,--,0,--,0,--,0
PR,El Salvador,El Salvador,SLV,--,0,0,0,--,0,0
PR,Eritrea,Eritrea,ERI,--,--,--,5,--,--,0
PR,Ethiopia,Ethiopia,ETH,5,0,5,--,--,--,0
PR,Federal Republic of Came,Cameroon,CMR,0,0,0,--,0,0,0
PR,France,France,FRA,0,--,0,0,0,0,0
PR,Georgia,Georgia,GEO,--,0,0,--,0,0,0
PR,Ghana,Ghana,GHA,--,0,--,0,0,0,0
PR,"Guinea, Republic of",Guinea,GIN,0,0,--,--,0,0,0
PR,Haiti,Haiti,HTI,0,--,--,--,--,--,0
PR,Honduras,Honduras,HND,--,0,0,0,0,0,0
PR,Hungary,Hungary,HUN,0,0,--,0,0,0,0
PR,India,India,IND,20,10,15,20,20,0,0
PR,Iran,Iran,IRN,10,5,10,15,10,--,0
PR,Iraq,Iraq,IRQ,5,10,10,5,--,0,0
PR,Israel,Israel,ISR,0,--,--,--,0,0,0
PR,Italy,Italy,ITA,0,0,0,0,0,--,0
PR,Jordan,Jordan,JOR,--,0,0,0,0,0,0
PR,Kenya,Kenya,KEN,0,0,--,0,0,0,0
PR,"Kosovo, Republic of",Kosovo,UNK,--,0,0,--,0,0,0
PR,Lebanon,Lebanon,LBN,--,5,5,--,5,--,--
PR,Liberia,Liberia,LBR,0,0,--,0,0,0,0
PR,Libya,Libya,LBY,--,0,--,0,0,0,0
PR,Mexico,Mexico,MEX,0,--,0,--,0,0,0
PR,Moldova,Moldova,MDA,0,0,0,--,--,0,0
PR,Morocco,Morocco,MAR,--,0,0,0,--,0,0
PR,Nepal,Nepal,NPL,--,--,0,0,0,0,0
PR,Nigeria,Nigeria,NGA,--,0,10,10,5,--,0
PR,Pakistan,Pakistan,PAK,--,5,--,--,--,--,0
PR,Palestinian Authority (Ga,Palestinian Authority (Gaza/West Bank),PSE,--,--,0,0,--,0,0
PR,People's Republic of Chin,China,CHN,20,15,40,20,--,5,0
PR,Peru,Peru,PER,0,0,0,--,--,0,0
PR,Philippines,Philippines,PHL,--,--,--,5,15,--,0
PR,Poland,Poland,POL,0,0,0,--,0,0,0
PR,Portugal,Portugal,PRT,0,--,0,0,0,0,0
PR,Republic of Indonesia,Indonesia,IDN,0,0,0,--,0,0,0
PR,Republic of Ivory Coast,Ivory Coast,CIV,--,0,--,--,0,0,0
PR,Republic of South Africa,South Africa,ZAF,0,0,0,0,--,0,0
