country_raw,country,iso3,2019,2020,2021,2022,2023,2024,2025_jan_jul
Afghanistan,Afghanistan,AFG,0,0,--,0,5,--,0
Algeria,Algeria,DZA,--,0,0,0,0,0,0
Angola,Angola,AGO,0,0,0,0,0,--,0
Argentina,Argentina,ARG,0,0,0,0,--,0,0
Armenia,Armenia,ARM,0,0,--,0,--,0,0
Azerbaijan,Azerbaijan,AZE,0,0,0,--,0,0,0
Bangladesh,Bangladesh,BGD,45,15,5,20,10,--,0
Belarus,Belarus,BLR,--,--,0,--,--,0,0
Belgium,Belgium,BEL,--,--,0,0,0,0,0
Bosnia-Hercegovina,Bosnia and Herzegovina,BIH,5,--,0,--,--,--,0
Brazil,Brazil,BRA,--,0,--,--,0,0,0
Bulgaria,Bulgaria,BGR,0,0,--,0,0,0,0
Burkina-Faso,Burkina Faso,BFA,0,0,0,0,10,0,0
Burundi,Burundi,BDI,0,0,0,0,0,--,0
Cambodia,Cambodia,KHM,0,0,0,--,0,0,0
"Chad, Republic of",Chad,TCD,--,0,0,0,0,0,--
Colombia,Colombia,COL,--,--,5,5,--,--,0
"Congo, Democratic Repu","Congo, Democratic Republic of the",COD,--,0,0,--,0,0,0
Croatia,Croatia,HRV,0,0,0,0,0,--,0
Cuba,Cuba,CUB,--,0,0,--,--,0,--
Cyprus,Cyprus,CYP,--,--,0,0,--,0,0
Czech Republic,Czech Republic,CZE,0,--,0,0,--,0,0
Democratic Republic of S,Sudan,SDN,0,5,0,--,--,0,0
Denmark,Denmark,DNK,0,0,0,0,--,0,0
Ecuador,Ecuador,ECU,0,0,0,--,0,0,0
Egypt,Egypt,EGY,5,5,5,5,--,--,0
El Salvador,El Salvador,SLV,--,--,0,0,--,--,0
Ethiopia,Ethiopia,ETH,--,0,--,--,--,--,0
Federal Republic of Came,Cameroon,CMR,0,0,0,--,0,--,0
Federal Republic of Germ,Germany,DEU,0,--,--,0,--,0,0
France,France,FRA,0,--,0,0,0,0,0
Georgia,Georgia,GEO,0,0,0,0,0,--,0
Ghana,Ghana,GHA,0,0,0,--,0,0,0
Grenada,Grenada,GRD,0,0,0,0,--,--,0
Guatemala,Guatemala,GTM,--,0,0,0,0,0,0
"Guinea, Republic of",Guinea,GIN,0,--,0,--,0,0,0
Guyana,Guyana,GUY,--,0,0,0,--,0,0
Haiti,Haiti,HTI,--,0,--,--,--,0,0
Honduras,Honduras,HND,0,0,--,0,0,0,0
Hong Kong SAR,Hong Kong,HKG,--,--,0,0,0,0,0
India,India,IND,35,10,30,95,60,15,--
Iran,Iran,IRN,30,5,15,15,10,5,--
Iraq,Iraq,IRQ,10,--,--,15,0,--,0
Israel,Israel,ISR,--,0,0,0,0,0,0
Italy,Italy,ITA,--,0,0,--,0,--,0
Japan,Japan,JPN,--,0,0,0,0,0,0
Jordan,Jordan,JOR,--,--,--,--,--,0,0
Kazakhstan,Kazakhstan,KAZ,--,0,0,0,--,--,0
"Kosovo, Republic of",Kosovo,UNK,10,0,0,10,10,--,0
Kuwait,Kuwait,KWT,--,0,0,0,0,0,0
Kyrgyzstan,Kyrgyzstan,KGZ,--,0,0,0,0,0,0
Lebanon,Lebanon,LBN,15,10,15,15,10,5,0
Mauritania,Mauritania,MRT,0,0,0,0,0,--,0
Mexico,Mexico,MEX,--,--,--,--,--,0,0
Moldova,Moldova,MDA,0,0,0,--,0,0,0
"Mongolia, People's Repu",Mongolia,MNG,0,0,0,0,--,0,0
"Montenegro, Republic of",Montenegro,MNE,0,0,0,--,0,0,0
Morocco,Morocco,MAR,5,0,--,--,0,0,0
Nepal,Nepal,NPL,--,0,0,0,--,0,0
Nicaragua,Nicaragua,NIC,--,0,0,0,--,0,0
Nigeria,Nigeria,NGA,0,0,--,--,10,--,5
Norway,Norway,NOR,--,--,0,0,0,0,0
Pakistan,Pakistan,PAK,55,10,--,5,10,5,--
Palestinian Authority (Ga,Palestinian Authority (Gaza/West Bank),PSE,--,0,--,0,--,50,--
"Panama, Republic of",Panama,PAN,0,0,--,0,0,0,0
Peoples Republic of Beni,Benin,BEN,0,0,0,0,0,--,0
People's Republic of Chin,China,CHN,320,45,135,100,105,20,20
Peru,Peru,PER,5,--,--,--,10,--,0
Philippines,Philippines,PHL,5,0,0,5,--,--,5
Poland,Poland,POL,0,0,0,0,--,0,0
Portugal,Portugal,PRT,0,0,0,0,--,0,0
Republic of Ireland,Ireland,IRL,--,0,--,0,--,--,0
Republic of Ivory Coast,Ivory Coast,CIV,0,0,0,0,--,--,0
Republic of South Africa,South Africa,ZAF,10,--,--,5,--,--,--
Romania,Romania,ROU,--,0,0,0,0,0,0
Russia,Russia,RUS,110,50,50,15,20,20,10
Rwanda,Rwanda,RWA,5,--,0,0,10,--,--
Saudi Arabia,Saudi Arabia,SAU,5,--,--,5,0,0,0
"Serbia, Republic of",Serbia,SRB,--,--,--,--,--,--,0
Sierra Leone,Sierra Leone,SLE,--,0,0,0,0,0,0
Socialist Republic of Viet,Vietnam,VNM,10,--,--,--,--,--,--
"Somalia, Democratic Rep",Somalia,SOM,0,0,0,0,--,0,--
"South Sudan, Republic O",South Sudan,SSD,--,0,0,0,0,0,0
Sri Lanka,Sri Lanka,LKA,5,--,0,--,5,--,0
St. Kitts-Nevis,Saint Kitts and Nevis,KNA,0,0,0,--,0,0,0
Stateless,Stateless,,0,--,0,0,0,0,0
Sweden,Sweden,SWE,--,0,--,0,--,0,0
Switzerland,Switzerland,CHE,--,--,0,0,0,--,0
Syria,Syria,SYR,--,0,--,0,--,--,0
Tajikistan,Tajikistan,TJK,0,0,0,0,0,--,0
Thailand,Thailand,THA,5,0,0,0,0,0,0
The Netherlands,Netherlands,NLD,--,0,0,0,0,0,0
"Trinidad and Tobago, Re",Trinidad and Tobago,TTO,--,0,--,0,0,0,0
Tunisia,Tunisia,TUN,0,--,--,--,--,0,--
Turkey,Turkey,TUR,--,0,--,--,0,--,0
Uganda,Uganda,UGA,0,0,0,0,--,5,--
Ukraine,Ukraine,UKR,15,--,--,150,205,25,5
United Arab Emirates,United Arab Emirates,ARE,0,0,0,--,0,0,--
United Kingdom and Ove,United Kingdom and Overseas Territories,GBR,--,--,--,--,--,--,--
United States of America,United States of America,USA,--,0,0,0,0,0,0
"Yemen, Republic of",Yemen,YEM,--,--,0,0,0,0,0
Zimbabwe,Zimbabwe,ZWE,--,--,0,--,--,--,0
TR (all nationalities),TR (all nationalities),,810,205,300,520,550,225,70
