country,year,month,value
Total,2023,January,115945
Total,2023,February,128495
Total,2023,March,149535
Total,2023,April,157550
Total,2023,May,190040
Total,2023,June,195005
Total,2023,July,150210
Total,2023,August,136545
Total,2023,September,139025
Total,2023,October,129310
Total,2023,November,150340
Total,2023,December,115580
Total,2023,Total,1757585
Total,2024,January,146405
Total,2024,February,138460
Total,2024,March,150260
Total,2024,April,160625
Total,2024,May,151580
Total,2024,June,114635
Total,2024,July,123795
Total,2024,August,94830
Total,2024,September,96380
Total,2024,October,99200
Total,2024,November,97555
Total,2024,December,84550
Total,2024,Total,1458270
Total,2025,January,84770
Total,2025,February,94885
Total,2025,March,88685
Total,2025,April,92300
Total,2025,May,112485
Total,2025,June,83495
Total,2025,July,99210
Total,2025,August,82900
Total,2025,September,79685
Total,2025,October,81635
Total,2025,November,77980
Total,2025,December,70455
Total,2025,Total,1048490
Total,2026,January,82460
Total,2026,February,93965
Total,2026,March,99300
Total,2026,April,112720
Total,2026,May,113955
Total,2026,Total,502395
Afghanistan,2023,January,15
Afghanistan,2023,February,15
Afghanistan,2023,March,40
Afghanistan,2023,April,80
Afghanistan,2023,May,90
Afghanistan,2023,June,40
Afghanistan,2023,July,30
Afghanistan,2023,August,20
Afghanistan,2023,September,30
Afghanistan,2023,October,10
Afghanistan,2023,November,40
Afghanistan,2023,December,50
Afghanistan,2023,Total,465
Afghanistan,2024,January,30
Afghanistan,2024,February,30
Afghanistan,2024,March,20
Afghanistan,2024,April,25
Afghanistan,2024,May,25
Afghanistan,2024,June,25
Afghanistan,2024,July,30
Afghanistan,2024,August,20
Afghanistan,2024,September,25
Afghanistan,2024,October,30
Afghanistan,2024,November,15
Afghanistan,2024,December,35
Afghanistan,2024,Total,315
Afghanistan,2025,January,25
Afghanistan,2025,February,25
Afghanistan,2025,March,60
Afghanistan,2025,April,45
Afghanistan,2025,May,50
Afghanistan,2025,June,50
Afghanistan,2025,July,45
Afghanistan,2025,August,20
Afghanistan,2025,September,15
Afghanistan,2025,October,15
Afghanistan,2025,November,25
Afghanistan,2025,December,30
Afghanistan,2025,Total,400
Afghanistan,2026,January,25
Afghanistan,2026,February,20
Afghanistan,2026,March,35
Afghanistan,2026,April,30
Afghanistan,2026,May,40
Afghanistan,2026,Total,150
Albania,2023,January,90
Albania,2023,February,225
Albania,2023,March,525
Albania,2023,April,210
Albania,2023,May,405
Albania,2023,June,165
Albania,2023,July,165
Albania,2023,August,310
Albania,2023,September,170
Albania,2023,October,110
Albania,2023,November,315
Albania,2023,December,220
Albania,2023,Total,2910
Albania,2024,January,395
Albania,2024,February,195
Albania,2024,March,160
Albania,2024,April,250
Albania,2024,May,315
Albania,2024,June,245
Albania,2024,July,170
Albania,2024,August,230
Albania,2024,September,85
Albania,2024,October,125
Albania,2024,November,340
Albania,2024,December,110
Albania,2024,Total,2630
Albania,2025,January,180
Albania,2025,February,285
Albania,2025,March,205
Albania,2025,April,280
Albania,2025,May,275
Albania,2025,June,195
Albania,2025,July,180
Albania,2025,August,140
Albania,2025,September,210
Albania,2025,October,175
Albania,2025,November,200
Albania,2025,December,155
Albania,2025,Total,2485
Albania,2026,January,100
Albania,2026,February,180
Albania,2026,March,190
Albania,2026,April,295
Albania,2026,May,280
Albania,2026,Total,1045
Algeria,2023,January,1195
Algeria,2023,February,810
Algeria,2023,March,2255
Algeria,2023,April,2360
Algeria,2023,May,8700
Algeria,2023,June,6190
Algeria,2023,July,2855
Algeria,2023,August,2590
Algeria,2023,September,1760
Algeria,2023,October,1455
Algeria,2023,November,1390
Algeria,2023,December,2375
Algeria,2023,Total,33930
Algeria,2024,January,4970
Algeria,2024,February,4650
Algeria,2024,March,2260
Algeria,2024,April,2335
Algeria,2024,May,2195
Algeria,2024,June,2635
Algeria,2024,July,2180
Algeria,2024,August,1445
Algeria,2024,September,1680
Algeria,2024,October,1210
Algeria,2024,November,1330
Algeria,2024,December,1160
Algeria,2024,Total,28050
Algeria,2025,January,1195
Algeria,2025,February,1290
Algeria,2025,March,1205
Algeria,2025,April,995
Algeria,2025,May,1845
Algeria,2025,June,1545
Algeria,2025,July,1885
Algeria,2025,August,1680
Algeria,2025,September,1570
Algeria,2025,October,1565
Algeria,2025,November,1510
Algeria,2025,December,1760
Algeria,2025,Total,18045
Algeria,2026,January,1685
Algeria,2026,February,1795
Algeria,2026,March,1775
Algeria,2026,April,2510
Algeria,2026,May,2725
Algeria,2026,Total,10490
Andorra,2023,January,0
Andorra,2023,February,0
Andorra,2023,March,0
Andorra,2023,April,
Andorra,2023,May,0
Andorra,2023,June,
Andorra,2023,July,0
Andorra,2023,August,0
Andorra,2023,September,
Andorra,2023,October,0
Andorra,2023,November,0
Andorra,2023,December,0
Andorra,2023,Total,
Andorra,2024,January,0
Andorra,2024,February,0
Andorra,2024,March,0
Andorra,2024,April,0
Andorra,2024,May,0
Andorra,2024,June,0
Andorra,2024,July,0
Andorra,2024,August,0
Andorra,2024,September,0
Andorra,2024,October,
Andorra,2024,November,0
Andorra,2024,December,0
Andorra,2024,Total,
Andorra,2025,January,0
Andorra,2025,February,0
Andorra,2025,March,0
Andorra,2025,April,0
Andorra,2025,May,
Andorra,2025,June,0
Andorra,2025,July,0
Andorra,2025,August,0
Andorra,2025,September,0
Andorra,2025,October,0
Andorra,2025,November,0
Andorra,2025,December,0
Andorra,2025,Total,
Andorra,2026,January,0
Andorra,2026,February,0
Andorra,2026,March,0
Andorra,2026,April,0
Andorra,2026,May,0
Andorra,2026,Total,0
Angola,2023,January,5
Angola,2023,February,10
Angola,2023,March,25
Angola,2023,April,35
Angola,2023,May,55
Angola,2023,June,20
Angola,2023,July,20
Angola,2023,August,15
Angola,2023,September,15
Angola,2023,October,5
Angola,2023,November,5
Angola,2023,December,10
Angola,2023,Total,230
Angola,2024,January,15
Angola,2024,February,10
Angola,2024,March,15
Angola,2024,April,15
Angola,2024,May,20
Angola,2024,June,10
Angola,2024,July,15
Angola,2024,August,10
Angola,2024,September,10
Angola,2024,October,5
Angola,2024,November,15
Angola,2024,December,5
Angola,2024,Total,150
Angola,2025,January,15
Angola,2025,February,20
Angola,2025,March,20
Angola,2025,April,10
Angola,2025,May,10
Angola,2025,June,25
Angola,2025,July,50
Angola,2025,August,65
Angola,2025,September,15
Angola,2025,October,5
Angola,2025,November,20
Angola,2025,December,10
Angola,2025,Total,275
Angola,2026,January,5
Angola,2026,February,15
Angola,2026,March,10
Angola,2026,April,10
Angola,2026,May,5
Angola,2026,Total,40
Antigua and Barbuda,2023,January,145
Antigua and Barbuda,2023,February,45
Antigua and Barbuda,2023,March,35
Antigua and Barbuda,2023,April,45
Antigua and Barbuda,2023,May,95
Antigua and Barbuda,2023,June,70
Antigua and Barbuda,2023,July,30
Antigua and Barbuda,2023,August,20
Antigua and Barbuda,2023,September,25
Antigua and Barbuda,2023,October,5
Antigua and Barbuda,2023,November,20
Antigua and Barbuda,2023,December,
Antigua and Barbuda,2023,Total,540
Antigua and Barbuda,2024,January,5
Antigua and Barbuda,2024,February,10
Antigua and Barbuda,2024,March,15
Antigua and Barbuda,2024,April,15
Antigua and Barbuda,2024,May,15
Antigua and Barbuda,2024,June,10
Antigua and Barbuda,2024,July,15
Antigua and Barbuda,2024,August,5
Antigua and Barbuda,2024,September,5
Antigua and Barbuda,2024,October,15
Antigua and Barbuda,2024,November,15
Antigua and Barbuda,2024,December,5
Antigua and Barbuda,2024,Total,135
Antigua and Barbuda,2025,January,10
Antigua and Barbuda,2025,February,5
Antigua and Barbuda,2025,March,15
Antigua and Barbuda,2025,April,15
Antigua and Barbuda,2025,May,10
Antigua and Barbuda,2025,June,15
Antigua and Barbuda,2025,July,10
Antigua and Barbuda,2025,August,10
Antigua and Barbuda,2025,September,15
Antigua and Barbuda,2025,October,15
Antigua and Barbuda,2025,November,10
Antigua and Barbuda,2025,December,10
Antigua and Barbuda,2025,Total,140
Antigua and Barbuda,2026,January,5
Antigua and Barbuda,2026,February,5
Antigua and Barbuda,2026,March,10
Antigua and Barbuda,2026,April,10
Antigua and Barbuda,2026,May,15
Antigua and Barbuda,2026,Total,40
Argentina,2023,January,565
Argentina,2023,February,530
Argentina,2023,March,640
Argentina,2023,April,1000
Argentina,2023,May,955
Argentina,2023,June,575
Argentina,2023,July,320
Argentina,2023,August,205
Argentina,2023,September,165
Argentina,2023,October,115
Argentina,2023,November,120
Argentina,2023,December,120
Argentina,2023,Total,5310
Argentina,2024,January,145
Argentina,2024,February,185
Argentina,2024,March,230
Argentina,2024,April,295
Argentina,2024,May,305
Argentina,2024,June,320
Argentina,2024,July,300
Argentina,2024,August,170
Argentina,2024,September,60
Argentina,2024,October,25
Argentina,2024,November,100
Argentina,2024,December,140
Argentina,2024,Total,2275
Argentina,2025,January,115
Argentina,2025,February,105
Argentina,2025,March,105
Argentina,2025,April,190
Argentina,2025,May,475
Argentina,2025,June,185
Argentina,2025,July,165
Argentina,2025,August,100
Argentina,2025,September,80
Argentina,2025,October,130
Argentina,2025,November,100
Argentina,2025,December,105
Argentina,2025,Total,1855
Argentina,2026,January,120
Argentina,2026,February,125
Argentina,2026,March,215
Argentina,2026,April,270
Argentina,2026,May,260
Argentina,2026,Total,990
Armenia,2023,January,30
Armenia,2023,February,55
Armenia,2023,March,80
Armenia,2023,April,60
Armenia,2023,May,280
Armenia,2023,June,130
Armenia,2023,July,50
Armenia,2023,August,50
Armenia,2023,September,40
Armenia,2023,October,105
Armenia,2023,November,155
Armenia,2023,December,75
Armenia,2023,Total,1105
Armenia,2024,January,140
Armenia,2024,February,60
Armenia,2024,March,65
Armenia,2024,April,200
Armenia,2024,May,115
Armenia,2024,June,85
Armenia,2024,July,65
Armenia,2024,August,130
Armenia,2024,September,75
Armenia,2024,October,95
Armenia,2024,November,100
Armenia,2024,December,65
Armenia,2024,Total,1200
Armenia,2025,January,50
Armenia,2025,February,85
Armenia,2025,March,60
Armenia,2025,April,65
Armenia,2025,May,105
Armenia,2025,June,85
Armenia,2025,July,75
Armenia,2025,August,50
Armenia,2025,September,50
Armenia,2025,October,60
Armenia,2025,November,50
Armenia,2025,December,35
Armenia,2025,Total,780
Armenia,2026,January,45
Armenia,2026,February,70
Armenia,2026,March,55
Armenia,2026,April,80
Armenia,2026,May,60
Armenia,2026,Total,310
Australia,2023,January,10
Australia,2023,February,0
Australia,2023,March,5
Australia,2023,April,0
Australia,2023,May,0
